instance,generated_sha256,source_instance,source_sha256,gamma_percent,global_seed,instance_seed_hex,target_direct_edges,actual_direct_edges,transitive_edges,max_chain_distance,meeting_incidences,realized_incidence_density_percent,eligible_precedence_posts,realized_eligible_post_density_percent,witness_sha256,construction
forum-13.prec30.dzn,c57bc462f6a0d497fc0b45d9997fe6e4ca7c6185dfa0cf3e01cb9ce50b748c8f,forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,30,20260724,7c9fb7ff0c45134b,55,55,61,2,308,17.857143,238,23.109244,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,nested_witness_consistent_precedence_dag
forum-13.prec35.dzn,9bc73150fdea547d87843c4c29a1c6645a6ca00492044d3e7956313c7c795dc4,forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,35,20260724,7c9fb7ff0c45134b,82,82,113,4,308,26.623377,238,34.453782,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,nested_witness_consistent_precedence_dag
forum-13.prec40.dzn,e1c63e8b3b1ff6a70196540d04957529da412d2c8e1354fbcfb345723a41d726,forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,40,20260724,7c9fb7ff0c45134b,96,96,132,4,308,31.168831,238,40.336134,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,nested_witness_consistent_precedence_dag
forum-13crafb.prec30.dzn,2fe616356dffc637298eaa363684af1511e68a450aac6b62f288e20f232a4b57,forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,30,20260724,d982ccf2e034ac17,84,84,119,4,390,21.538462,320,26.250000,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,nested_witness_consistent_precedence_dag
forum-13crafb.prec35.dzn,bed3e92e7f202b148917ab9f81659e308e6425a90ca3f022b775a85e96eb9334,forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,35,20260724,d982ccf2e034ac17,108,108,160,4,390,27.692308,320,33.750000,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,nested_witness_consistent_precedence_dag
forum-13crafb.prec40.dzn,f110654d0bf995f09ac4a3577aa3c48f65a59cd6c9f7fb2e128d8b9851ed3cda,forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,40,20260724,d982ccf2e034ac17,128,128,199,4,390,32.820513,320,40.000000,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,nested_witness_consistent_precedence_dag
forum-13crafc.prec30.dzn,a2d63fd25650c33771a25e77373cc0c28c3b800a8266e7a6e2bd8d47bfb1d152,forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,30,20260724,cb8c3cf50b2decde,55,55,64,3,308,17.857143,238,23.109244,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,nested_witness_consistent_precedence_dag
forum-13crafc.prec35.dzn,cdd7775d8d5711eaeceabdf215bb7c4878d267757c093200b4fbf85cc634b5e0,forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,35,20260724,cb8c3cf50b2decde,82,82,117,4,308,26.623377,238,34.453782,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,nested_witness_consistent_precedence_dag
forum-13crafc.prec40.dzn,ee1af02da9490056468b6573881f6759539c6422eb97399d15858ac8946ae253,forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,40,20260724,cb8c3cf50b2decde,96,96,146,4,308,31.168831,238,40.336134,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,nested_witness_consistent_precedence_dag
forum-14.prec30.dzn,2a40e9716af39826de895ff5bf10805f9ba293da35970bcedfcd7201de1c4f72,forum-14.original.dzn,7b042eef7f1c194076bf4c8164db16b189b98bab3af7f6f5d99d861f2ca4cab7,30,20260724,a48b5367b234bd4c,145,145,212,4,604,24.006623,528,27.462121,a9c1a6e563ccf42a7902d226d8a27bfa1eecbf2058d3eecca5b5aaab715596d5,nested_witness_consistent_precedence_dag
