content_id,sha256,canonical_instance,canonical_run_path,family,variant,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,n_business,n_meetings,n_tables,n_total_slots,n_morning_slots,n_forbidden_assignments,n_fixed_meetings,n_direct_precedence_edges,dataset_source_page,dataset_archive_url,dataset_archive_sha256
b2b-stress-c57bc462f6a0d497,c57bc462f6a0d497fc0b45d9997fe6e4ca7c6185dfa0cf3e01cb9ce50b748c8f,forum-13.prec30,forum-13.prec30.dzn,precedence,prec30,1,forum-13.prec30.dzn,1,forum-13.prec30.dzn,70,154,14,21,13,22,0,55,,,
b2b-stress-9bc73150fdea547d,9bc73150fdea547d87843c4c29a1c6645a6ca00492044d3e7956313c7c795dc4,forum-13.prec35,forum-13.prec35.dzn,precedence,prec35,1,forum-13.prec35.dzn,1,forum-13.prec35.dzn,70,154,14,21,13,22,0,82,,,
b2b-stress-e1c63e8b3b1ff6a7,e1c63e8b3b1ff6a70196540d04957529da412d2c8e1354fbcfb345723a41d726,forum-13.prec40,forum-13.prec40.dzn,precedence,prec40,1,forum-13.prec40.dzn,1,forum-13.prec40.dzn,70,154,14,21,13,22,0,96,,,
b2b-stress-2fe616356dffc637,2fe616356dffc637298eaa363684af1511e68a450aac6b62f288e20f232a4b57,forum-13crafb.prec30,forum-13crafb.prec30.dzn,precedence,prec30,1,forum-13crafb.prec30.dzn,1,forum-13crafb.prec30.dzn,76,195,14,22,12,26,0,84,,,
b2b-stress-bed3e92e7f202b14,bed3e92e7f202b148917ab9f81659e308e6425a90ca3f022b775a85e96eb9334,forum-13crafb.prec35,forum-13crafb.prec35.dzn,precedence,prec35,1,forum-13crafb.prec35.dzn,1,forum-13crafb.prec35.dzn,76,195,14,22,12,26,0,108,,,
b2b-stress-f110654d0bf995f0,f110654d0bf995f09ac4a3577aa3c48f65a59cd6c9f7fb2e128d8b9851ed3cda,forum-13crafb.prec40,forum-13crafb.prec40.dzn,precedence,prec40,1,forum-13crafb.prec40.dzn,1,forum-13crafb.prec40.dzn,76,195,14,22,12,26,0,128,,,
b2b-stress-a2d63fd25650c337,a2d63fd25650c33771a25e77373cc0c28c3b800a8266e7a6e2bd8d47bfb1d152,forum-13crafc.prec30,forum-13crafc.prec30.dzn,precedence,prec30,1,forum-13crafc.prec30.dzn,1,forum-13crafc.prec30.dzn,70,154,12,21,13,22,0,55,,,
b2b-stress-cdd7775d8d5711ea,cdd7775d8d5711eaeceabdf215bb7c4878d267757c093200b4fbf85cc634b5e0,forum-13crafc.prec35,forum-13crafc.prec35.dzn,precedence,prec35,1,forum-13crafc.prec35.dzn,1,forum-13crafc.prec35.dzn,70,154,12,21,13,22,0,82,,,
b2b-stress-ee1af02da9490056,ee1af02da9490056468b6573881f6759539c6422eb97399d15858ac8946ae253,forum-13crafc.prec40,forum-13crafc.prec40.dzn,precedence,prec40,1,forum-13crafc.prec40.dzn,1,forum-13crafc.prec40.dzn,70,154,12,21,13,22,0,96,,,
b2b-stress-2a40e9716af39826,2a40e9716af39826de895ff5bf10805f9ba293da35970bcedfcd7201de1c4f72,forum-14.prec30,forum-14.prec30.dzn,precedence,prec30,1,forum-14.prec30.dzn,1,forum-14.prec30.dzn,78,302,22,22,12,116,0,145,,,
b2b-stress-42283d9d444b53bb,42283d9d444b53bbceed9c31b98f7c92514702eabf7c9cd3a2fbd234c4617f04,forum-14.prec35,forum-14.prec35.dzn,precedence,prec35,1,forum-14.prec35.dzn,1,forum-14.prec35.dzn,78,302,22,22,12,116,0,177,,,
b2b-stress-a83e7832f4d74710,a83e7832f4d74710b8cfeeb63e98c93fa038c943214b1e6fc306fb9c2e358fa7,forum-14.prec40,forum-14.prec40.dzn,precedence,prec40,1,forum-14.prec40.dzn,1,forum-14.prec40.dzn,78,302,22,22,12,116,0,212,,,
b2b-stress-44bf96511d84ed93,44bf96511d84ed930c1508b6ae9a3152aa47fd6b758eab5525314f131c154a69,forumt-14.prec30,forumt-14.prec30.dzn,precedence,prec30,1,forumt-14.prec30.dzn,1,forumt-14.prec30.dzn,60,237,27,10,10,14,0,126,,,
b2b-stress-1ca9e2ba33a1db27,1ca9e2ba33a1db27f9d65448f2a461e68e0de664e7f5a729f44d8a8dee65d043,forumt-14.prec35,forumt-14.prec35.dzn,precedence,prec35,1,forumt-14.prec35.dzn,1,forumt-14.prec35.dzn,60,237,27,10,10,14,0,139,,,
b2b-stress-ef0323b1d2fe546a,ef0323b1d2fe546a9e785c1622411c55135b148e657fb920b21af9a309e9b37e,forumt-14.prec40,forumt-14.prec40.dzn,precedence,prec40,1,forumt-14.prec40.dzn,1,forumt-14.prec40.dzn,60,237,27,10,10,14,0,176,,,
b2b-stress-4b78af31c9b1f7e4,4b78af31c9b1f7e493526369fd172f27813db3a3a8d1893e92f100addfb0244b,forumt-14crafc.prec30,forumt-14crafc.prec30.dzn,precedence,prec30,1,forumt-14crafc.prec30.dzn,1,forumt-14crafc.prec30.dzn,60,237,25,10,10,14,0,126,,,
b2b-stress-222f2316f5ea6468,222f2316f5ea6468a37af7f61e0d575876a172d47ecc8b282b42db6e065b6962,forumt-14crafc.prec35,forumt-14crafc.prec35.dzn,precedence,prec35,1,forumt-14crafc.prec35.dzn,1,forumt-14crafc.prec35.dzn,60,237,25,10,10,14,0,139,,,
b2b-stress-fdc41ca62f901408,fdc41ca62f901408a0ae9a27ebad719ca81cc9817c927ea516d0c898b3a710bd,forumt-14crafc.prec40,forumt-14crafc.prec40.dzn,precedence,prec40,1,forumt-14crafc.prec40.dzn,1,forumt-14crafc.prec40.dzn,60,237,25,10,10,14,0,176,,,
b2b-stress-daecd967c0c801c6,daecd967c0c801c6c0f5656f72efe2e43d415d23a5e8912c43d5ae805523d97c,forumt-14crafd.prec30,forumt-14crafd.prec30.dzn,precedence,prec30,1,forumt-14crafd.prec30.dzn,1,forumt-14crafd.prec30.dzn,60,236,25,10,10,14,0,127,,,
b2b-stress-ca60a0a2bbb06cbb,ca60a0a2bbb06cbb371d4f8cd8d1b305043f0515c9e7fdd42206864c1dcaedbd,forumt-14crafd.prec35,forumt-14crafd.prec35.dzn,precedence,prec35,1,forumt-14crafd.prec35.dzn,1,forumt-14crafd.prec35.dzn,60,236,25,10,10,14,0,135,,,
b2b-stress-e4ae3634ff77a31b,e4ae3634ff77a31b3a08f0f28c1a41d4bbff96c469e6c4cc3cfe7db67408b0eb,forumt-14crafd.prec40,forumt-14crafd.prec40.dzn,precedence,prec40,1,forumt-14crafd.prec40.dzn,1,forumt-14crafd.prec40.dzn,60,236,25,10,10,14,0,180,,,
b2b-stress-cf9d95a0f75355e2,cf9d95a0f75355e2dd31c687f4c5c999317a95d9a5c2086a7f569c2db739e6e1,forumt-14crafe.prec30,forumt-14crafe.prec30.dzn,precedence,prec30,1,forumt-14crafe.prec30.dzn,1,forumt-14crafe.prec30.dzn,60,236,24,10,10,14,0,127,,,
b2b-stress-fa4234320d859f53,fa4234320d859f533aea333310d1a731f31e9507065995ff6e8ab61a3d1361cf,forumt-14crafe.prec35,forumt-14crafe.prec35.dzn,precedence,prec35,1,forumt-14crafe.prec35.dzn,1,forumt-14crafe.prec35.dzn,60,236,24,10,10,14,0,135,,,
b2b-stress-04376c6eedab9be2,04376c6eedab9be2af93122cb36e34c488195422b1cf99518b198ffbdff68c15,forumt-14crafe.prec40,forumt-14crafe.prec40.dzn,precedence,prec40,1,forumt-14crafe.prec40.dzn,1,forumt-14crafe.prec40.dzn,60,236,24,10,10,14,0,180,,,
b2b-stress-9110892d561e434f,9110892d561e434f9db2d55ff8930367045de77e5dc66163eb808bae6c08111c,tic-12.prec30,tic-12.prec30.dzn,precedence,prec30,1,tic-12.prec30.dzn,1,tic-12.prec30.dzn,42,125,21,8,8,0,0,56,,,
b2b-stress-9470bd0ae5d66137,9470bd0ae5d66137e0e5c8db6d6f55a45915ed39033ff940e39aeac47c3a5430,tic-12.prec35,tic-12.prec35.dzn,precedence,prec35,1,tic-12.prec35.dzn,1,tic-12.prec35.dzn,42,125,21,8,8,0,0,64,,,
b2b-stress-1070b77709a2db43,1070b77709a2db43927fd2baec14089b211b561e99d09bb7fa9f0c63be1b5f23,tic-12.prec40,tic-12.prec40.dzn,precedence,prec40,1,tic-12.prec40.dzn,1,tic-12.prec40.dzn,42,125,21,8,8,0,0,85,,,
b2b-stress-1c6b1e4595365420,1c6b1e4595365420d8c69c5118b2167525f0fe9272060f6001282aeaef9185a7,tic-12crafc.prec30,tic-12crafc.prec30.dzn,precedence,prec30,1,tic-12crafc.prec30.dzn,1,tic-12crafc.prec30.dzn,42,125,16,8,8,0,0,56,,,
b2b-stress-db8a0f1c3e26ed4b,db8a0f1c3e26ed4b71fd91a86ebcc2f79a1bb0032731c9e63c650bc99f880989,tic-12crafc.prec35,tic-12crafc.prec35.dzn,precedence,prec35,1,tic-12crafc.prec35.dzn,1,tic-12crafc.prec35.dzn,42,125,16,8,8,0,0,64,,,
b2b-stress-05e000793c6c39ef,05e000793c6c39ef780d9387e2c1d429854c0dde88a649fd35d1c5f305f97d37,tic-12crafc.prec40,tic-12crafc.prec40.dzn,precedence,prec40,1,tic-12crafc.prec40.dzn,1,tic-12crafc.prec40.dzn,42,125,16,8,8,0,0,85,,,
b2b-stress-0b9368a98f12d0ec,0b9368a98f12d0ec555cd59136e49e70ff2ae3706480a52f834e0428ccd31a6e,tic-13.prec30,tic-13.prec30.dzn,precedence,prec30,1,tic-13.prec30.dzn,1,tic-13.prec30.dzn,47,180,21,10,10,0,0,94,,,
b2b-stress-045ba150413e6b91,045ba150413e6b919eaa33fb60c27f881bc48d7b358a34b674d34d7ad3931eca,tic-13.prec35,tic-13.prec35.dzn,precedence,prec35,1,tic-13.prec35.dzn,1,tic-13.prec35.dzn,47,180,21,10,10,0,0,103,,,
b2b-stress-40c7bdf248480043,40c7bdf2484800430c5cb8358506771aecfdb547f27a8b0ceb16b627c3929e91,tic-13.prec40,tic-13.prec40.dzn,precedence,prec40,1,tic-13.prec40.dzn,1,tic-13.prec40.dzn,47,180,21,10,10,0,0,132,,,
b2b-stress-9b0ce2543cb30bc3,9b0ce2543cb30bc37f7a521761b7cbc4430dfc00d8324f8fe461532162fc97b4,tic-13crafb.prec30,tic-13crafb.prec30.dzn,precedence,prec30,1,tic-13crafb.prec30.dzn,1,tic-13crafb.prec30.dzn,46,184,21,10,10,0,0,98,,,
b2b-stress-829adc51bf45aa39,829adc51bf45aa39135b6b46b7f72b605b7457ffc49e164a365960189fe3f3e6,tic-13crafb.prec35,tic-13crafb.prec35.dzn,precedence,prec35,1,tic-13crafb.prec35.dzn,1,tic-13crafb.prec35.dzn,46,184,21,10,10,0,0,107,,,
b2b-stress-d6522cefbe7836d1,d6522cefbe7836d1e75b8bd8f20765b5a535c2b2fc1870114a5f8f63796aaef6,tic-13crafb.prec40,tic-13crafb.prec40.dzn,precedence,prec40,1,tic-13crafb.prec40.dzn,1,tic-13crafb.prec40.dzn,46,184,21,10,10,0,0,138,,,
b2b-stress-d78590eba2be941f,d78590eba2be941f3f249b52d7f26b1ef477d02a73de152c87e1cf725caa2baf,tic-13crafc.prec30,tic-13crafc.prec30.dzn,precedence,prec30,1,tic-13crafc.prec30.dzn,1,tic-13crafc.prec30.dzn,47,180,19,10,10,0,0,94,,,
b2b-stress-9b599e6bf16d17dc,9b599e6bf16d17dc6cc60688555a9b77e2db00794518397a81c0e6a2a82d8861,tic-13crafc.prec35,tic-13crafc.prec35.dzn,precedence,prec35,1,tic-13crafc.prec35.dzn,1,tic-13crafc.prec35.dzn,47,180,19,10,10,0,0,103,,,
b2b-stress-d4cab3be96cab955,d4cab3be96cab9555306fddeed9c062b5640994cfee49b04d269f43f34ad7af0,tic-13crafc.prec40,tic-13crafc.prec40.dzn,precedence,prec40,1,tic-13crafc.prec40.dzn,1,tic-13crafc.prec40.dzn,47,180,19,10,10,0,0,132,,,
b2b-stress-2eb1f9a101fe59c9,2eb1f9a101fe59c9cc2ab28a6bbfd659ff82e79fb19d48809ddd4d10b36ef85e,tic-14crafa.prec30,tic-14crafa.prec30.dzn,precedence,prec30,1,tic-14crafa.prec30.dzn,1,tic-14crafa.prec30.dzn,60,237,27,10,10,0,0,126,,,
b2b-stress-b68ca2277db5bce8,b68ca2277db5bce8ec907ce4681261afc42f44f1f786b8b5d86f9e9144bee055,tic-14crafa.prec35,tic-14crafa.prec35.dzn,precedence,prec35,1,tic-14crafa.prec35.dzn,1,tic-14crafa.prec35.dzn,60,237,27,10,10,0,0,139,,,
b2b-stress-1152572ad0cafc4e,1152572ad0cafc4e46788903a483a0e652de9c8c6249b39b9b4454cd19b76805,tic-14crafa.prec40,tic-14crafa.prec40.dzn,precedence,prec40,1,tic-14crafa.prec40.dzn,1,tic-14crafa.prec40.dzn,60,237,27,10,10,0,0,176,,,
b2b-stress-c6cf7f069aaf4d13,c6cf7f069aaf4d1356140ed71cf03e81ef397df4bdc2d4ca040a3843df44222f,tic-14crafc.prec30,tic-14crafc.prec30.dzn,precedence,prec30,1,tic-14crafc.prec30.dzn,1,tic-14crafc.prec30.dzn,60,237,25,10,10,0,0,126,,,
b2b-stress-883860d684f9542c,883860d684f9542ce17a8b32d075a3ec96b5b7b6a242f3ddc8456278c7c1b5ab,tic-14crafc.prec35,tic-14crafc.prec35.dzn,precedence,prec35,1,tic-14crafc.prec35.dzn,1,tic-14crafc.prec35.dzn,60,237,25,10,10,0,0,139,,,
