content_id,base_lineage_id,sha256,canonical_instance,canonical_run_path,family,variant,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,n_business,n_meetings,n_tables,n_total_slots,n_morning_slots,n_forbidden_assignments,n_fixed_meetings,n_direct_precedence_edges,dataset_source_page,dataset_archive_url,dataset_archive_sha256
b2b-stress-7b53cb0cbf161f38,b2b-lineage-forum-13,7b53cb0cbf161f3815ed870cd1ef51768c7be02d77cac8632e9b79dbadbb29e4,forum-13.prec50,forum-13.prec50.dzn,precedence,prec50,1,forum-13.prec50.dzn,1,forum-13.prec50.dzn,70,154,14,21,13,22,0,132,,,
b2b-stress-4a51fea5e718dd72,b2b-lineage-forum-13,4a51fea5e718dd72295b44c08399c1e30397453ec9a3275dcb327f818f908b75,forum-13.prec60,forum-13.prec60.dzn,precedence,prec60,1,forum-13.prec60.dzn,1,forum-13.prec60.dzn,70,154,14,21,13,22,0,154,,,
b2b-stress-1f4b69ec4efa1bb8,b2b-lineage-forum-13crafb,1f4b69ec4efa1bb8474de3a53c14fe06ea1ce5351849810ee273a82cbdaafeab,forum-13crafb.prec50,forum-13crafb.prec50.dzn,precedence,prec50,1,forum-13crafb.prec50.dzn,1,forum-13crafb.prec50.dzn,76,195,14,22,12,26,0,173,,,
b2b-stress-d5678a2342fc00e8,b2b-lineage-forum-13crafb,d5678a2342fc00e855d16c55c58f6745b947f4abb0d3416e1da668b28f3b4268,forum-13crafb.prec60,forum-13crafb.prec60.dzn,precedence,prec60,1,forum-13crafb.prec60.dzn,1,forum-13crafb.prec60.dzn,76,195,14,22,12,26,0,207,,,
b2b-stress-762779daacc6928d,b2b-lineage-forum-13crafc,762779daacc6928d4df6defcc3b1409a49f380d64174e2781ed6a4858e7dddca,forum-13crafc.prec50,forum-13crafc.prec50.dzn,precedence,prec50,1,forum-13crafc.prec50.dzn,1,forum-13crafc.prec50.dzn,70,154,12,21,13,22,0,132,,,
b2b-stress-495bc2729a984485,b2b-lineage-forum-13crafc,495bc2729a9844850acfce26b81039e5d3605053f653ab108188e0cbd4577cea,forum-13crafc.prec60,forum-13crafc.prec60.dzn,precedence,prec60,1,forum-13crafc.prec60.dzn,1,forum-13crafc.prec60.dzn,70,154,12,21,13,22,0,154,,,
b2b-stress-9a5ae00beaaf144c,b2b-lineage-forum-14,9a5ae00beaaf144ccdbbe05b05766a544b2939572b0b56c6d4885824e9e12d54,forum-14.prec50,forum-14.prec50.dzn,precedence,prec50,1,forum-14.prec50.dzn,1,forum-14.prec50.dzn,78,302,22,22,12,116,0,287,,,
b2b-stress-4851ad89a45ba751,b2b-lineage-forum-14,4851ad89a45ba751647128927c2ffdf64e4f54d6e12c9ab6b5278ff733cdcd6e,forum-14.prec60,forum-14.prec60.dzn,precedence,prec60,1,forum-14.prec60.dzn,1,forum-14.prec60.dzn,78,302,22,22,12,116,0,331,,,
b2b-stress-d21b58b6738be2a8,b2b-lineage-forumt-14,d21b58b6738be2a839db72d7a943dc0a85ca656624c8980850e8d670d5605b63,forumt-14.prec50,forumt-14.prec50.dzn,precedence,prec50,1,forumt-14.prec50.dzn,1,forumt-14.prec50.dzn,60,237,27,10,10,14,0,227,,,
b2b-stress-3816a98fbc34624c,b2b-lineage-forumt-14,3816a98fbc34624c80a86f82dacece449b988dac836deb723887fee2ae5fb40f,forumt-14.prec60,forumt-14.prec60.dzn,precedence,prec60,1,forumt-14.prec60.dzn,1,forumt-14.prec60.dzn,60,237,27,10,10,14,0,269,,,
b2b-stress-4e652b6d09b450d6,b2b-lineage-forumt-14crafc,4e652b6d09b450d6eff65feea16eb7443b2bcfc7c4ff8b5deed4bbb2ca937d44,forumt-14crafc.prec50,forumt-14crafc.prec50.dzn,precedence,prec50,1,forumt-14crafc.prec50.dzn,1,forumt-14crafc.prec50.dzn,60,237,25,10,10,14,0,227,,,
b2b-stress-8ba0d9d081f2ae60,b2b-lineage-forumt-14crafc,8ba0d9d081f2ae6086770077c5569726e6e7d267f55fcfbf7e8365b9b49e93a4,forumt-14crafc.prec60,forumt-14crafc.prec60.dzn,precedence,prec60,1,forumt-14crafc.prec60.dzn,1,forumt-14crafc.prec60.dzn,60,237,25,10,10,14,0,269,,,
b2b-stress-add8275a6b77f980,b2b-lineage-forumt-14crafd,add8275a6b77f9808f89018b2f6fcd14bc15ce05208450351d19dc63d43f93ff,forumt-14crafd.prec50,forumt-14crafd.prec50.dzn,precedence,prec50,1,forumt-14crafd.prec50.dzn,1,forumt-14crafd.prec50.dzn,60,236,25,10,10,14,0,230,,,
b2b-stress-1a53b56bbf701798,b2b-lineage-forumt-14crafd,1a53b56bbf701798c10f40e9627a6426353fba89a4ed001f4652fe6fd0e40aac,forumt-14crafd.prec60,forumt-14crafd.prec60.dzn,precedence,prec60,1,forumt-14crafd.prec60.dzn,1,forumt-14crafd.prec60.dzn,60,236,25,10,10,14,0,269,,,
b2b-stress-3373c164ab153be2,b2b-lineage-forumt-14crafe,3373c164ab153be20cb466028b1d5573d3d8cf853879776cb0813406bfefe613,forumt-14crafe.prec50,forumt-14crafe.prec50.dzn,precedence,prec50,1,forumt-14crafe.prec50.dzn,1,forumt-14crafe.prec50.dzn,60,236,24,10,10,14,0,230,,,
b2b-stress-dd0e821ef098e4da,b2b-lineage-forumt-14crafe,dd0e821ef098e4dad1bc11193e44be8fcdbcc9d0584c4662ca5e9027c7976fc3,forumt-14crafe.prec60,forumt-14crafe.prec60.dzn,precedence,prec60,1,forumt-14crafe.prec60.dzn,1,forumt-14crafe.prec60.dzn,60,236,24,10,10,14,0,269,,,
b2b-stress-0afff9827f9fa788,b2b-lineage-tic-12,0afff9827f9fa7880e6a80b2f1c6a4bb096527c114ee21fbfbe1e3358c3cc9d4,tic-12.prec50,tic-12.prec50.dzn,precedence,prec50,1,tic-12.prec50.dzn,1,tic-12.prec50.dzn,42,125,21,8,8,0,0,122,,,
b2b-stress-b430a486d03358c6,b2b-lineage-tic-12,b430a486d03358c6d487378a3bc5a433fd7ba63487cf6ee6f78ce8d823c5c3d1,tic-12.prec60,tic-12.prec60.dzn,precedence,prec60,1,tic-12.prec60.dzn,1,tic-12.prec60.dzn,42,125,21,8,8,0,0,125,,,
b2b-stress-d41d36bafa2031aa,b2b-lineage-tic-12crafc,d41d36bafa2031aa5f62345c1e7872624238a59c21660b918011817f7e5c1370,tic-12crafc.prec50,tic-12crafc.prec50.dzn,precedence,prec50,1,tic-12crafc.prec50.dzn,1,tic-12crafc.prec50.dzn,42,125,16,8,8,0,0,122,,,
b2b-stress-76efc5b1b2e13400,b2b-lineage-tic-12crafc,76efc5b1b2e13400b834567bbd0a72ed6dfc1f0bee963e48f68259d294f91751,tic-12crafc.prec60,tic-12crafc.prec60.dzn,precedence,prec60,1,tic-12crafc.prec60.dzn,1,tic-12crafc.prec60.dzn,42,125,16,8,8,0,0,125,,,
b2b-stress-5054227cf5f933b2,b2b-lineage-tic-13,5054227cf5f933b2ce4675b51cb68bc30db434f7be121385332bb3df4a3b3055,tic-13.prec50,tic-13.prec50.dzn,precedence,prec50,1,tic-13.prec50.dzn,1,tic-13.prec50.dzn,47,180,21,10,10,0,0,171,,,
b2b-stress-17f5419a53d1e5ab,b2b-lineage-tic-13,17f5419a53d1e5ab941cb9e32875fbb99cc29273d440e8817e9b1874e91f6e7b,tic-13.prec60,tic-13.prec60.dzn,precedence,prec60,1,tic-13.prec60.dzn,1,tic-13.prec60.dzn,47,180,21,10,10,0,0,203,,,
b2b-stress-5d3c24704f38f80f,b2b-lineage-tic-13crafb,5d3c24704f38f80f8cc4c55c76ebfe846727d8ac15b3bac8d9d5f4f1eeaf1e2c,tic-13crafb.prec50,tic-13crafb.prec50.dzn,precedence,prec50,1,tic-13crafb.prec50.dzn,1,tic-13crafb.prec50.dzn,46,184,21,10,10,0,0,178,,,
b2b-stress-1a9ef85708fcce92,b2b-lineage-tic-13crafb,1a9ef85708fcce92a23190560f09486fcb21db361f0d8d19c6f1a1258d168d98,tic-13crafb.prec60,tic-13crafb.prec60.dzn,precedence,prec60,1,tic-13crafb.prec60.dzn,1,tic-13crafb.prec60.dzn,46,184,21,10,10,0,0,210,,,
b2b-stress-6f6a8dfdce2bd918,b2b-lineage-tic-13crafc,6f6a8dfdce2bd9187c15b15811ed478ab65d93cd0e7df8ba456c9b19095fc314,tic-13crafc.prec50,tic-13crafc.prec50.dzn,precedence,prec50,1,tic-13crafc.prec50.dzn,1,tic-13crafc.prec50.dzn,47,180,19,10,10,0,0,171,,,
b2b-stress-9c9547f84a1bc0c3,b2b-lineage-tic-13crafc,9c9547f84a1bc0c3a3d9de2259c6efc76c518915631196eea6d8bcb51e3747de,tic-13crafc.prec60,tic-13crafc.prec60.dzn,precedence,prec60,1,tic-13crafc.prec60.dzn,1,tic-13crafc.prec60.dzn,47,180,19,10,10,0,0,203,,,
b2b-stress-4310504a6ade1a40,b2b-lineage-tic-14crafa,4310504a6ade1a40a9a0589dd2fa5dd3da53e658079743f4e2cc909bc3708387,tic-14crafa.prec50,tic-14crafa.prec50.dzn,precedence,prec50,1,tic-14crafa.prec50.dzn,1,tic-14crafa.prec50.dzn,60,237,27,10,10,0,0,227,,,
b2b-stress-5955672346759511,b2b-lineage-tic-14crafa,595567234675951157bf7f086599c603c74965aacea318f6cf546ca68662e927,tic-14crafa.prec60,tic-14crafa.prec60.dzn,precedence,prec60,1,tic-14crafa.prec60.dzn,1,tic-14crafa.prec60.dzn,60,237,27,10,10,0,0,269,,,
b2b-stress-34a14b054da88eaf,b2b-lineage-tic-14crafc,34a14b054da88eafa69a7f228d8135335fe85c96cdbf42b41a5f7a65e14186b6,tic-14crafc.prec50,tic-14crafc.prec50.dzn,precedence,prec50,1,tic-14crafc.prec50.dzn,1,tic-14crafc.prec50.dzn,60,237,25,10,10,0,0,227,,,
