source_instance,source_sha256,n_meetings,n_total_slots,sat_backend,python_sat_version,canonicalization,witness_sha256,assignment_1_based
forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,154,21,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,1 2 3 4 5 6 7 8 9 14 1 2 3 4 5 6 7 8 2 1 3 4 5 6 1 2 1 2 3 4 5 8 6 3 1 2 4 5 6 7 1 2 14 15 16 2 3 1 1 2 3 4 5 6 7 8 9 2 1 3 4 3 1 2 3 4 5 1 2 4 3 5 6 7 8 9 10 1 2 3 4 5 6 7 9 8 10 11 3 4 5 1 2 7 8 6 9 10 3 5 4 6 7 8 4 5 6 7 8 10 11 9 12 7 4 5 6 8 9 10 11 5 9 6 7 10 8 11 12 13 14 15 16 6 7 8 10 9 11 12 13 14 15 16 17 18 19 20 7 8 9 10 11 12
forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,195,22,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,1 1 2 3 4 2 3 1 2 3 5 1 2 3 13 14 4 15 13 14 15 2 16 4 3 5 1 5 1 4 1 2 1 1 2 5 6 1 7 8 9 13 14 15 13 14 15 5 7 3 17 10 16 19 4 16 2 6 1 2 13 1 2 14 15 16 3 4 5 1 2 3 4 5 6 7 13 8 9 10 11 2 12 6 14 15 16 2 6 3 4 3 4 17 13 14 15 16 18 19 20 21 22 3 4 5 6 6 5 3 7 8 9 4 6 7 3 9 5 8 10 11 12 13 7 8 4 5 6 4 5 11 12 7 13 8 9 10 14 15 16 17 18 19 20 8 7 9 10 9 10 8 7 10 5 6 8 7 17 11 15 9 12 1 2 5 3 6 8 4 7 9 10 11 12 6 7 8 10 12 11 13 17 16 18 14 15 19 6 7 8 9 10 11 12
forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,154,21,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,1 2 3 4 5 6 7 8 9 14 1 2 3 4 5 6 7 8 2 1 3 4 5 6 1 2 1 2 3 4 5 8 6 3 1 2 4 5 6 7 1 2 14 15 16 2 3 1 1 2 3 4 5 6 7 8 9 2 1 3 4 3 1 2 3 4 5 1 2 4 3 5 6 7 8 9 10 3 4 5 6 7 8 9 10 11 12 13 4 5 6 7 8 9 10 11 12 13 5 6 4 7 8 9 5 6 7 9 8 10 11 12 13 7 6 8 9 11 10 12 13 8 10 9 11 12 13 14 15 16 17 18 19 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 7 9 10 11 12 13
forum-14.original.dzn,7b042eef7f1c194076bf4c8164db16b189b98bab3af7f6f5d99d861f2ca4cab7,302,22,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,a9c1a6e563ccf42a7902d226d8a27bfa1eecbf2058d3eecca5b5aaab715596d5,1 2 3 13 4 1 2 14 13 21 13 1 2 3 4 5 6 7 8 9 1 3 2 6 7 8 9 1 4 2 3 2 3 1 4 5 6 7 9 8 10 11 12 1 3 13 2 4 5 8 7 2 3 1 4 5 6 4 2 1 3 4 5 3 6 14 1 4 10 7 8 1 5 3 6 5 1 2 13 15 4 7 6 8 9 10 11 9 2 3 4 5 6 7 4 10 14 2 7 5 3 5 6 11 2 3 4 7 6 5 9 2 1 7 1 2 3 10 5 1 12 7 8 2 11 1 8 4 3 5 9 7 12 8 4 11 3 13 2 6 10 9 1 11 6 4 5 10 12 3 9 3 4 8 10 14 1 4 2 12 15 11 5 9 6 13 1 14 16 15 17 18 12 19 4 6 10 2 3 13 14 11 15 16 17 5 7 8 10 20 18 9 12 11 7 5 6 8 6 8 7 5 19 11 13 9 8 6 7 10 17 9 14 11 13 12 15 18 16 5 13 4 1 2 9 7 11 14 3 15 6 8 12 10 20 19 21 17 22 10 8 6 13 7 14 9 10 13 11 12 8 15 8 9 10 11 14 12 12 7 3 5 1 8 11 9 2 10 6 4 8 16 7 15 10 10 12 6 5 9 7 11 8 11 10 17 13 10 12 9 3 1 4 5 6 7 12 11 8 9 2 10
forumt-14.original.dzn,bc408114f4d8e467efbe770daeccda69e20eb1c51bc1b705fc518e7f501ac873,237,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,181a9099e745b3f5a825d2450a890b82c15051cfd1052afe82561609a43f99a0,1 2 3 4 5 6 7 8 1 1 1 2 3 4 5 6 7 8 1 1 3 2 4 1 2 3 4 5 2 3 1 2 3 4 2 1 4 7 4 1 3 1 2 4 5 6 7 3 5 1 2 4 6 4 2 1 5 7 3 6 8 3 1 6 2 5 4 8 9 10 1 5 4 6 7 8 2 1 3 4 5 6 7 8 9 10 1 7 2 9 3 5 2 5 3 6 4 9 6 2 5 7 8 10 9 2 3 10 5 8 7 10 9 4 3 1 9 7 10 8 6 8 2 9 3 6 1 9 7 10 7 8 2 1 10 9 8 7 6 5 4 8 9 10 5 3 8 9 5 7 8 2 1 3 9 10 6 5 4 7 4 5 7 3 10 1 8 6 9 2 6 9 10 10 7 9 2 3 1 3 6 4 7 2 10 8 9 5 1 10 6 4 3 8 5 9 6 4 10 7 5 4 7 9 8 5 2 3 6 10 4 6 1 7 8 9 7 9 1 9 7 4 2 10 5 1 8 6 6 5 3 9 10 2 4 9 3
forumt-14crafc.original.dzn,7497bc72fdee2653a57d45e99a94ff4c3be1d1fc77ab1a878bfbf156360b3ccc,237,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,b63f96e5b3e432dd9c9f70bf5458756be84b7296f21dc980097a49fade98ab2e,1 2 3 4 5 6 7 8 1 1 1 2 3 4 5 6 7 8 1 1 3 2 4 1 2 3 4 5 2 3 1 2 3 4 2 1 4 7 4 1 3 1 2 4 5 6 7 3 5 1 2 4 6 4 2 1 5 7 3 6 8 3 1 6 2 5 4 8 9 10 1 5 4 6 7 8 2 1 3 4 5 6 7 8 9 10 1 7 2 9 3 5 2 5 3 6 4 9 6 2 5 7 8 10 9 2 3 10 5 8 7 10 9 4 3 1 9 7 10 8 6 8 2 9 3 6 1 9 7 10 7 8 2 1 10 9 8 7 6 5 4 8 9 10 5 3 8 9 5 7 8 2 1 3 9 10 6 5 4 7 4 5 7 3 10 1 8 6 9 2 6 9 10 10 7 9 2 3 1 3 6 4 7 2 10 8 9 5 2 10 6 4 3 8 5 9 6 4 10 7 5 4 7 9 8 5 2 3 6 10 4 6 1 7 8 9 1 7 9 9 7 4 2 10 5 3 8 6 6 5 4 9 10 3 5 10 8
forumt-14crafd.original.dzn,ff9a27125840b021c6bee9387045eaa32e6e322b6d22b2505e633a42638d78ec,236,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,7ef2ffad7fef507ef419f4896c65c03f01a50738f2a7913be1a0fb0286d65af0,1 2 3 4 5 6 7 8 1 3 2 1 1 2 3 4 5 7 6 8 9 1 2 2 3 4 5 1 2 3 5 2 1 1 3 2 4 3 1 4 2 4 1 5 3 6 7 1 2 3 4 6 5 7 8 2 4 1 3 5 6 8 3 5 6 1 9 2 4 8 7 10 5 1 7 3 9 4 5 10 1 2 9 3 6 7 8 9 1 5 2 4 7 3 6 5 7 6 8 2 8 1 2 4 6 10 10 1 8 4 5 6 7 8 3 9 5 2 1 3 4 6 8 10 6 5 2 7 9 4 10 8 9 6 4 5 2 1 10 7 8 9 7 6 5 3 8 10 9 9 10 7 3 8 4 2 9 6 1 5 4 2 10 8 7 1 9 10 9 3 8 7 5 9 6 1 4 5 10 8 6 7 7 9 6 10 9 10 5 8 4 3 10 7 10 1 9 4 2 8 8 2 10 3 4 6 7 8 9 5 7 8 5 10 9 9 2 4 3 6 1 5 10 7 8 6 4 8 3 9 10 7 3 10 5 4
forumt-14crafe.original.dzn,05726bbe29a8e1413f418dfb4961af005189bf45fbf8f747afbfe9dfe596445e,236,10,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,84a2f17f2c4d76818ece900e702bf3f2b262e54988a51ab5466f57d88c411f8f,1 2 3 4 5 6 7 8 1 3 2 1 1 2 3 4 5 7 6 8 9 1 2 2 3 4 5 1 2 3 5 2 1 1 3 2 4 3 1 4 2 4 1 5 3 6 7 1 2 3 4 6 5 7 8 2 4 1 3 5 6 8 3 5 6 1 9 2 4 8 7 10 5 1 7 3 9 4 5 10 1 2 9 3 6 7 8 9 1 5 2 4 7 3 6 5 7 6 8 2 8 1 2 4 6 10 10 1 8 4 5 6 7 8 3 9 5 2 4 3 6 8 6 10 8 5 2 7 9 4 10 8 9 6 4 5 2 1 10 7 8 9 7 6 5 3 8 10 9 9 10 7 3 8 2 4 9 6 1 5 4 1 9 10 3 8 7 10 9 3 8 7 6 9 8 3 6 2 10 1 7 9 7 9 2 10 7 10 6 8 4 5 10 8 10 7 9 1 5 4 10 5 10 2 4 6 7 8 9 3 7 9 6 10 9 6 3 4 7 5 1 2 9 10 8 6 4 9 5 10 8 7 3 10 5 4
tic-12.original.dzn,f6a0647171ea3a01e077474a4c53b26d76eed6b7fe828661dbb02126b4225b46,125,8,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,30474df6df39034667e4d5a10c0ee525218b148e68f2ee93f1a89c8c9c67eb29,1 2 3 4 5 1 1 2 3 2 3 6 1 2 3 4 5 7 2 1 3 4 2 1 2 3 1 4 5 6 7 8 2 1 5 4 3 6 4 8 5 3 1 6 2 1 7 5 4 3 4 5 6 7 8 1 2 4 7 8 5 7 3 6 2 8 4 6 3 5 6 7 4 8 5 3 2 7 6 7 4 8 1 5 3 2 8 6 4 2 7 5 8 6 4 2 7 1 3 3 6 2 5 1 8 5 8 7 1 4 6 6 7 1 8 4 5 5 7 4 8 6 2 1 3
tic-12crafc.original.dzn,0d9483a3be1bdf60a6e9a9f06fe08d414291532197fb2237096c3f2f8f93b310,125,8,cadical153,1.8.dev26,lexicographically_smallest_slot_vector_by_meeting_id,282ab0f767a5684f28b039de9a441bba6702296f65ed97e6e46f21bce6b7aae2,1 2 3 4 5 1 1 2 3 2 3 6 1 2 3 4 5 7 2 1 3 4 2 1 2 3 1 4 5 6 7 8 2 1 5 4 3 6 4 8 5 3 1 6 2 3 7 6 4 5 4 5 6 7 8 1 2 7 8 8 5 7 3 6 2 8 4 6 3 5 5 7 6 4 8 3 7 8 6 7 4 8 1 5 3 2 8 6 4 2 7 6 8 5 4 2 7 1 3 3 6 2 5 1 8 5 8 7 1 4 6 6 7 1 8 4 5 5 7 4 8 6 2 1 3
