content_id,sha256,canonical_instance,canonical_run_path,family,variant,source_alias_count,source_alias_paths,repository_alias_count,repository_alias_paths,n_business,n_meetings,n_tables,n_total_slots,n_morning_slots,n_forbidden_assignments,n_fixed_meetings,n_direct_precedence_edges,dataset_source_page,dataset_archive_url,dataset_archive_sha256
b2b-012845c64333a713,012845c64333a713ece8bd629db7798ceb7bc7390978e5070fa46292ea01deb8,forum-13crafc.forb0007,data_table06_forb/forum-13crafc.forb0007.dzn,forbidden,forb0007,2,../noves/forum-13crafc.forb0007.dzn | ../noves/ticf-13crafc.forb0007.dzn,2,data_table06_forb/forum-13crafc.forb0007.dzn | data_table06_forb/ticf-13crafc.forb0007.dzn,70,154,12,21,13,10,0,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-01e07c6fc89d234b,01e07c6fc89d234b5e99cbb04dfeb3e7a46a05e82f4e8c5bfd3ae5def6aa3b13,forumt-14crafd.forb0003,data_table06_forb/forumt-14crafd.forb0003.dzn,forbidden,forb0003,2,../noves/forumt-14crafd.forb0003.dzn | ../noves/tic-14crafd.forb0003.dzn,2,data_table06_forb/forumt-14crafd.forb0003.dzn | data_table06_forb/tic-14crafd.forb0003.dzn,60,236,25,10,10,1,0,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-032e7adee7c2b10a,032e7adee7c2b10a5d19227cf9d93a414a069267f0b9ae58a18f28c55e8b2c3f,tic-13crafb.prec15,data_table08_prec/tic-13crafb.prec15.dzn,precedence,prec15,1,../noves/tic-13crafb.prec15.dzn,1,data_table08_prec/tic-13crafb.prec15.dzn,46,184,21,10,10,0,0,34,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-0519cd76c99f9943,0519cd76c99f99430d46300a428fa16a2eb0fa17fc8cfa93cbbc32f7eb7a22d9,ticf-13crafb.fixed020-Forb,data_table07_fixed/ticf-13crafb.fixed020-Forb.dzn,fixed,fixed020,1,../noves/ticf-13crafb.fixed020-Forb.dzn,1,data_table07_fixed/ticf-13crafb.fixed020-Forb.dzn,76,195,14,22,12,0,39,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-05726bbe29a8e141,05726bbe29a8e1413f418dfb4961af005189bf45fbf8f747afbfe9dfe596445e,forumt-14crafe.original,data_table03_origin/forumt-14crafe.original.dzn,original,original,1,../noves/forumt-14crafe.original.dzn,1,data_table03_origin/forumt-14crafe.original.dzn,60,236,24,10,10,14,0,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-075a454cd5bef4b0,075a454cd5bef4b0b64e938f064b7356ef0f28a14c9accb167c541afad7e2fbf,forum-13crafc.prec15,data_table08_prec/forum-13crafc.prec15.dzn,precedence,prec15,1,../noves/forum-13crafc.prec15.dzn,1,data_table08_prec/forum-13crafc.prec15.dzn,70,154,12,21,13,22,0,14,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-0d9483a3be1bdf60,0d9483a3be1bdf60a6e9a9f06fe08d414291532197fb2237096c3f2f8f93b310,tic-12crafc.original,data_table03_origin/tic-12crafc.original.dzn,original,original,1,../noves/tic-12crafc.original.dzn,1,data_table03_origin/tic-12crafc.original.dzn,42,125,16,8,8,0,0,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-11bed35297f1ebb4,11bed35297f1ebb4aec8ff1a36ad294f0ab222e6a8066701c884372e4c63abc5,tic-13crafb.forb0003,data_table06_forb/tic-13crafb.forb0003.dzn,forbidden,forb0003,1,../noves/tic-13crafb.forb0003.dzn,1,data_table06_forb/tic-13crafb.forb0003.dzn,46,184,21,10,10,1,0,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-1357e27c73d58a71,1357e27c73d58a71bffc4d1e693d0d0cf9549b9f9cba424cee39d488e04227cf,forum-13crafc.fixed040-Forb,data_table07_fixed/forum-13crafc.fixed040-Forb.dzn,fixed,fixed040,1,../noves/forum-13crafc.fixed040-Forb.dzn,1,data_table07_fixed/forum-13crafc.fixed040-Forb.dzn,70,154,12,21,13,22,61,0,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-14b8a7376a74f9fe,14b8a7376a74f9fe0c4602319101caca1e27578cc84b2f4a0f8d92c5cc09443b,forumt-14crafd.prec15,data_table08_prec/forumt-14crafd.prec15.dzn,precedence,prec15,1,../noves/forumt-14crafd.prec15.dzn,1,data_table08_prec/forumt-14crafd.prec15.dzn,60,236,25,10,10,14,0,41,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
b2b-1527f1972c633bd2,1527f1972c633bd2b35cb41c497e6326370b63b7ceccf9336950c1a2e8f500d0,ticf-13crafa.prec25,data_table08_prec/ticf-13crafa.prec25.dzn,precedence,prec25,1,../noves/ticf-13crafa.prec25.dzn,1,data_table08_prec/ticf-13crafa.prec25.dzn,70,154,14,21,13,0,0,48,https://imae.udg.edu/Recerca/LAI/,https://ima.udg.edu/Recerca/lai/b2b/b2b.zip,ee1f440ab3f6db27ab712300ad3a54a31ffd5ec1e06f81a9ac37cb7202c56528
