instance,solver,status,runtime_s,objective,backend,n_vars,n_clauses,n_soft
forum-13.original,maxsat,OPTIMAL,4.945233,0,RC2,114088,292113,19
forum-13crafb.original,maxsat,OPTIMAL,6.86671,2,RC2,133629,358699,20
forum-13crafc.original,maxsat,OPTIMAL,82.366508,1,RC2,108460,277665,19
forum-14.original,maxsat,OPTIMAL,11.786835,4,RC2,233692,615129,20
forumt-14.original,maxsat,OPTIMAL,1.866169,2,RC2,73532,188410,7
forumt-14crafc.original,maxsat,OPTIMAL,1.816263,2,RC2,69792,180770,7
forumt-14crafd.original,maxsat,OPTIMAL,1.870478,2,RC2,69278,179795,8
forumt-14crafe.original,maxsat,OPTIMAL,1.880621,2,RC2,67388,175875,8
tic-12.original,maxsat,OPTIMAL,0.570794,0,RC2,22135,54274,6
tic-12crafc.original,maxsat,OPTIMAL,0.603417,0,RC2,20391,55890,6
tic-13.original,maxsat,OPTIMAL,1.247862,0,RC2,47360,123054,6
tic-13crafb.original,maxsat,OPTIMAL,1.228975,0,RC2,46610,122565,8
tic-13crafc.original,maxsat,OPTIMAL,1.333915,1,RC2,44520,117254,6
tic-14crafa.original,maxsat,OPTIMAL,2.344288,0,RC2,73532,188396,7
tic-14crafc.original,maxsat,OPTIMAL,1.804355,0,RC2,69792,180756,7
tic-14crafd.original,maxsat,OPTIMAL,1.867221,0,RC2,69278,179781,8
ticf-13crafa.original,maxsat,OPTIMAL,5.889287,0,RC2,114088,292091,19
ticf-13crafb.original,maxsat,OPTIMAL,7.145098,2,RC2,133629,358673,20
ticf-13crafc.original,maxsat,OPTIMAL,475.87046,1,RC2,108460,277643,19
ticf-14crafa.original,maxsat,OPTIMAL,11.59894,0,RC2,233692,615013,20
