instance,sat_result,status,total_runtime_s,input_parsing_s,constraint_building_s,solver_runtime_s,peak_memory_mb,memory_metric,n_vars,n_hard_clauses,n_soft_clauses,n_total_clauses,solver,solver_cost,fairness_gap,hard_fairness_limit,participant_gap_slots,assignment_by_meeting,schedule_by_slot,validation_status,error_type,error_message
forum-13.prec15,SAT,OPTIMAL,5.684781,0.000626,1.511722,1.923383,222.977,peak_process_tree_rss_mb,131823,368203,19,368222,RC2,0,0,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","M1:T5,M2:T4,M3:T8,M4:T11,M5:T10,M6:T7,M7:T9,M8:T3,M9:T6,M10:T14,M11:T4,M12:T7,M13:T5,M14:T8,M15:T6,M16:T1,M17:T2,M18:T3,M19:T2,M20:T7,M21:T5,M22:T3,M23:T6,M24:T4,M25:T7,M26:T6,M27:T7,M28:T11,M29:T10,M30:T13,M31:T9,M32:T8,M33:T12,M34:T6,M35:T9,M36:T11,M37:T12,M38:T7,M39:T10,M40:T8,M41:T12,M42:T13,M43:T14,M44:T16,M45:T15,M46:T6,M47:T8,M48:T3,M49:T6,M50:T11,M51:T9,M52:T10,M53:T7,M54:T4,M55:T12,M56:T8,M57:T5,M58:T11,M59:T12,M60:T13,M61:T10,M62:T5,M63:T11,M64:T13,M65:T10,M66:T12,M67:T9,M68:T9,M69:T4,M70:T10,M71:T6,M72:T13,M73:T8,M74:T11,M75:T12,M76:T7,M77:T5,M78:T9,M79:T5,M80:T12,M81:T11,M82:T13,M83:T10,M84:T3,M85:T7,M86:T8,M87:T6,M88:T4,M89:T3,M90:T5,M91:T8,M92:T4,M93:T6,M94:T10,M95:T11,M96:T9,M97:T2,M98:T7,M99:T12,M100:T13,M101:T9,M102:T10,M103:T11,M104:T8,M105:T7,M106:T3,M107:T8,M108:T2,M109:T9,M110:T4,M111:T1,M112:T6,M113:T5,M114:T5,M115:T10,M116:T9,M117:T11,M118:T3,M119:T4,M120:T6,M121:T7,M122:T6,M123:T11,M124:T13,M125:T14,M126:T9,M127:T12,M128:T5,M129:T4,M130:T7,M131:T10,M132:T3,M133:T8,M134:T4,M135:T3,M136:T10,M137:T5,M138:T9,M139:T8,M140:T15,M141:T6,M142:T12,M143:T7,M144:T14,M145:T13,M146:T11,M147:T2,M148:T16,M149:T12,M150:T8,M151:T10,M152:T13,M153:T11,M154:T9",1:M16 M111 | 2:M17 M19 M97 M108 M147 | 3:M8 M18 M22 M48 M84 M89 M106 M118 M132 M135 | 4:M2 M11 M24 M54 M69 M88 M92 M110 M119 M129 M134 | 5:M1 M13 M21 M57 M62 M77 M79 M90 M113 M114 M128 M137 | 6:M9 M15 M23 M26 M34 M46 M49 M71 M87 M93 M112 M120 M122 M141 | 7:M6 M12 M20 M25 M27 M38 M53 M76 M85 M98 M105 M121 M130 M143 | 8:M3 M14 M32 M40 M47 M56 M73 M86 M91 M104 M107 M133 M139 M150 | 9:M7 M31 M35 M51 M67 M68 M78 M96 M101 M109 M116 M126 M138 M154 | 10:M5 M29 M39 M52 M61 M65 M70 M83 M94 M102 M115 M131 M136 M151 | 11:M4 M28 M36 M50 M58 M63 M74 M81 M95 M103 M117 M123 M146 M153 | 12:M33 M37 M41 M55 M59 M66 M75 M80 M99 M127 M142 M149 | 13:M30 M42 M60 M64 M72 M82 M100 M124 M145 M152 | 14:M10 M43 M125 M144 | 15:M45 M140 | 16:M44 M148 | 17: | 18: | 19: | 20: | 21:,PASSED,,
forum-13.prec25,UNSAT,UNSAT,4.333415,0.015867,1.540789,0.4657,230.699,peak_process_tree_rss_mb,131823,376057,19,376076,RC2,,,,,,1: | 2: | 3: | 4: | 5: | 6: | 7: | 8: | 9: | 10: | 11: | 12: | 13: | 14: | 15: | 16: | 17: | 18: | 19: | 20: | 21:,NOT_RUN,,
forum-13crafb.prec15,UNSAT,UNSAT,4.667877,0.009727,1.819833,0.526115,223.027,peak_process_tree_rss_mb,138450,409255,20,409275,RC2,,,,,,1: | 2: | 3: | 4: | 5: | 6: | 7: | 8: | 9: | 10: | 11: | 12: | 13: | 14: | 15: | 16: | 17: | 18: | 19: | 20: | 21: | 22:,NOT_RUN,,
forum-13crafb.prec25,UNSAT,UNSAT,4.567064,0.002001,1.633246,0.537425,242.238,peak_process_tree_rss_mb,138450,419881,20,419901,RC2,,,,,,1: | 2: | 3: | 4: | 5: | 6: | 7: | 8: | 9: | 10: | 11: | 12: | 13: | 14: | 15: | 16: | 17: | 18: | 19: | 20: | 21: | 22:,NOT_RUN,,
forum-13crafc.prec15,SAT,OPTIMAL,20.124043,0.002002,1.513264,16.358972,243.16,peak_process_tree_rss_mb,131991,368581,19,368600,RC2,1,1,,"1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1","M1:T8,M2:T2,M3:T5,M4:T7,M5:T10,M6:T4,M7:T11,M8:T3,M9:T6,M10:T14,M11:T5,M12:T2,M13:T4,M14:T7,M15:T8,M16:T1,M17:T6,M18:T3,M19:T5,M20:T7,M21:T2,M22:T3,M23:T1,M24:T4,M25:T5,M26:T8,M27:T3,M28:T4,M29:T5,M30:T8,M31:T6,M32:T10,M33:T9,M34:T6,M35:T8,M36:T12,M37:T13,M38:T9,M39:T11,M40:T10,M41:T12,M42:T13,M43:T14,M44:T17,M45:T15,M46:T2,M47:T4,M48:T5,M49:T5,M50:T9,M51:T12,M52:T3,M53:T6,M54:T4,M55:T10,M56:T7,M57:T8,M58:T9,M59:T13,M60:T12,M61:T11,M62:T3,M63:T9,M64:T14,M65:T12,M66:T11,M67:T10,M68:T3,M69:T6,M70:T10,M71:T4,M72:T12,M73:T8,M74:T9,M75:T11,M76:T7,M77:T13,M78:T9,M79:T3,M80:T12,M81:T10,M82:T13,M83:T6,M84:T2,M85:T8,M86:T11,M87:T4,M88:T5,M89:T7,M90:T1,M91:T8,M92:T3,M93:T4,M94:T6,M95:T10,M96:T5,M97:T2,M98:T11,M99:T13,M100:T8,M101:T10,M102:T11,M103:T12,M104:T7,M105:T2,M106:T4,M107:T5,M108:T1,M109:T10,M110:T7,M111:T3,M112:T9,M113:T6,M114:T6,M115:T9,M116:T7,M117:T13,M118:T12,M119:T11,M120:T4,M121:T5,M122:T6,M123:T11,M124:T18,M125:T16,M126:T9,M127:T17,M128:T13,M129:T15,M130:T7,M131:T14,M132:T12,M133:T10,M134:T6,M135:T5,M136:T1,M137:T4,M138:T2,M139:T12,M140:T16,M141:T8,M142:T11,M143:T3,M144:T15,M145:T10,M146:T13,M147:T14,M148:T9,M149:T13,M150:T8,M151:T12,M152:T11,M153:T9,M154:T7",1:M16 M23 M90 M108 M136 | 2:M2 M12 M21 M46 M84 M97 M105 M138 | 3:M8 M18 M22 M27 M52 M62 M68 M79 M92 M111 M143 | 4:M6 M13 M24 M28 M47 M54 M71 M87 M93 M106 M120 M137 | 5:M3 M11 M19 M25 M29 M48 M49 M88 M96 M107 M121 M135 | 6:M9 M17 M31 M34 M53 M69 M83 M94 M113 M114 M122 M134 | 7:M4 M14 M20 M56 M76 M89 M104 M110 M116 M130 M154 | 8:M1 M15 M26 M30 M35 M57 M73 M85 M91 M100 M141 M150 | 9:M33 M38 M50 M58 M63 M74 M78 M112 M115 M126 M148 M153 | 10:M5 M32 M40 M55 M67 M70 M81 M95 M101 M109 M133 M145 | 11:M7 M39 M61 M66 M75 M86 M98 M102 M119 M123 M142 M152 | 12:M36 M41 M51 M60 M65 M72 M80 M103 M118 M132 M139 M151 | 13:M37 M42 M59 M77 M82 M99 M117 M128 M146 M149 | 14:M10 M43 M64 M131 M147 | 15:M45 M129 M144 | 16:M125 M140 | 17:M44 M127 | 18:M124 | 19: | 20: | 21:,PASSED,,
forum-13crafc.prec25,UNSAT,UNSAT,4.147645,0.001004,1.595859,0.442695,233.492,peak_process_tree_rss_mb,131991,376435,19,376454,RC2,,,,,,1: | 2: | 3: | 4: | 5: | 6: | 7: | 8: | 9: | 10: | 11: | 12: | 13: | 14: | 15: | 16: | 17: | 18: | 19: | 20: | 21:,NOT_RUN,,
forum-14.prec15,SAT,OPTIMAL,11.433354,0.0,2.042948,6.662949,286.508,peak_process_tree_rss_mb,162929,506655,20,506675,RC2,4,4,,"2,3,4,3,2,4,0,4,0,0,4,1,0,4,0,0,4,0,4,4,4,4,4,3,4,4,2,4,3,1,4,4,4,4,4,3,4,4,3,4,4,4,4,4,2,1,4,4,3,4,0,4,1,4,3,3,2,0,1,1,0,4,4,4,2,4,4,0,2,2,4,4,0,4,1,3,3,0","M1:T12,M2:T16,M3:T3,M4:T13,M5:T2,M6:T10,M7:T13,M8:T15,M9:T13,M10:T14,M11:T13,M12:T4,M13:T7,M14:T6,M15:T10,M16:T2,M17:T3,M18:T11,M19:T9,M20:T12,M21:T7,M22:T3,M23:T10,M24:T9,M25:T18,M26:T6,M27:T7,M28:T7,M29:T9,M30:T19,M31:T11,M32:T3,M33:T11,M34:T19,M35:T12,M36:T14,M37:T13,M38:T4,M39:T2,M40:T16,M41:T10,M42:T18,M43:T7,M44:T15,M45:T4,M46:T6,M47:T14,M48:T17,M49:T13,M50:T16,M51:T7,M52:T10,M53:T9,M54:T5,M55:T4,M56:T12,M57:T6,M58:T5,M59:T8,M60:T13,M61:T16,M62:T14,M63:T6,M64:T4,M65:T14,M66:T8,M67:T13,M68:T16,M69:T15,M70:T18,M71:T20,M72:T10,M73:T11,M74:T12,M75:T8,M76:T12,M77:T8,M78:T13,M79:T14,M80:T20,M81:T3,M82:T16,M83:T5,M84:T15,M85:T21,M86:T18,M87:T7,M88:T1,M89:T6,M90:T10,M91:T16,M92:T9,M93:T15,M94:T17,M95:T5,M96:T12,M97:T8,M98:T17,M99:T9,M100:T11,M101:T14,M102:T7,M103:T11,M104:T5,M105:T9,M106:T10,M107:T3,M108:T1,M109:T14,M110:T12,M111:T13,M112:T16,M113:T9,M114:T11,M115:T7,M116:T11,M117:T7,M118:T8,M119:T10,M120:T5,M121:T4,M122:T12,M123:T2,M124:T6,M125:T10,M126:T5,M127:T7,M128:T9,M129:T11,M130:T12,M131:T8,M132:T9,M133:T14,M134:T17,M135:T6,M136:T11,M137:T18,M138:T1,M139:T4,M140:T8,M141:T5,M142:T9,M143:T10,M144:T7,M145:T19,M146:T17,M147:T8,M148:T15,M149:T13,M150:T9,M151:T16,M152:T15,M153:T9,M154:T3,M155:T5,M156:T17,M157:T10,M158:T13,M159:T12,M160:T8,M161:T15,M162:T8,M163:T6,M164:T3,M165:T12,M166:T18,M167:T19,M168:T13,M169:T22,M170:T5,M171:T16,M172:T7,M173:T4,M174:T20,M175:T3,M176:T8,M177:T18,M178:T15,M179:T10,M180:T5,M181:T17,M182:T19,M183:T14,M184:T11,M185:T2,M186:T19,M187:T14,M188:T8,M189:T15,M190:T11,M191:T12,M192:T7,M193:T10,M194:T9,M195:T11,M196:T9,M197:T10,M198:T13,M199:T11,M200:T7,M201:T14,M202:T6,M203:T9,M204:T5,M205:T16,M206:T12,M207:T5,M208:T11,M209:T4,M210:T3,M211:T9,M212:T8,M213:T2,M214:T16,M215:T14,M216:T13,M217:T6,M218:T21,M219:T20,M220:T10,M221:T18,M222:T14,M223:T19,M224:T7,M225:T4,M226:T5,M227:T9,M228:T22,M229:T17,M230:T3,M231:T12,M232:T11,M233:T8,M234:T6,M235:T2,M236:T15,M237:T1,M238:T13,M239:T16,M240:T6,M241:T18,M242:T15,M243:T19,M244:T10,M245:T8,M246:T12,M247:T1,M248:T13,M249:T5,M250:T7,M251:T6,M252:T4,M253:T8,M254:T12,M255:T14,M256:T5,M257:T7,M258:T6,M259:T3,M260:T2,M261:T4,M262:T7,M263:T6,M264:T5,M265:T9,M266:T12,M267:T11,M268:T10,M269:T8,M270:T1,M271:T16,M272:T9,M273:T12,M274:T15,M275:T17,M276:T12,M277:T11,M278:T9,M279:T7,M280:T6,M281:T4,M282:T8,M283:T3,M284:T19,M285:T15,M286:T17,M287:T13,M288:T7,M289:T12,M290:T11,M291:T12,M292:T7,M293:T3,M294:T6,M295:T1,M296:T8,M297:T11,M298:T2,M299:T5,M300:T9,M301:T10,M302:T4",1:M88 M108 M138 M237 M247 M270 M295 | 2:M5 M16 M39 M123 M185 M213 M235 M260 M298 | 3:M3 M17 M22 M32 M81 M107 M154 M164 M175 M210 M230 M259 M283 M293 | 4:M12 M38 M45 M55 M64 M121 M139 M173 M209 M225 M252 M261 M281 M302 | 5:M54 M58 M83 M95 M104 M120 M126 M141 M155 M170 M180 M204 M207 M226 M249 M256 M264 M299 | 6:M14 M26 M46 M57 M63 M89 M124 M135 M163 M202 M217 M234 M240 M251 M258 M263 M280 M294 | 7:M13 M21 M27 M28 M43 M51 M87 M102 M115 M117 M127 M144 M172 M192 M200 M224 M250 M257 M262 M279 M288 M292 | 8:M59 M66 M75 M77 M97 M118 M131 M140 M147 M160 M162 M176 M188 M212 M233 M245 M253 M269 M282 M296 | 9:M19 M24 M29 M53 M92 M99 M105 M113 M128 M132 M142 M150 M153 M194 M196 M203 M211 M227 M265 M272 M278 M300 | 10:M6 M15 M23 M41 M52 M72 M90 M106 M119 M125 M143 M157 M179 M193 M197 M220 M244 M268 M301 | 11:M18 M31 M33 M73 M100 M103 M114 M116 M129 M136 M184 M190 M195 M199 M208 M232 M267 M277 M290 M297 | 12:M1 M20 M35 M56 M74 M76 M96 M110 M122 M130 M159 M165 M191 M206 M231 M246 M254 M266 M273 M276 M289 M291 | 13:M4 M7 M9 M11 M37 M49 M60 M67 M78 M111 M149 M158 M168 M198 M216 M238 M248 M287 | 14:M10 M36 M47 M62 M65 M79 M101 M109 M133 M183 M187 M201 M215 M222 M255 | 15:M8 M44 M69 M84 M93 M148 M152 M161 M178 M189 M236 M242 M274 M285 | 16:M2 M40 M50 M61 M68 M82 M91 M112 M151 M171 M205 M214 M239 M271 | 17:M48 M94 M98 M134 M146 M156 M181 M229 M275 M286 | 18:M25 M42 M70 M86 M137 M166 M177 M221 M241 | 19:M30 M34 M145 M167 M182 M186 M223 M243 M284 | 20:M71 M80 M174 M219 | 21:M85 M218 | 22:M169 M228,PASSED,,
forum-14.prec25,UNSAT,UNSAT,6.09976,0.0,2.194892,0.646969,280.492,peak_process_tree_rss_mb,162929,525124,20,525144,RC2,,,,,,1: | 2: | 3: | 4: | 5: | 6: | 7: | 8: | 9: | 10: | 11: | 12: | 13: | 14: | 15: | 16: | 17: | 18: | 19: | 20: | 21: | 22:,NOT_RUN,,
forumt-14.prec15,SAT,OPTIMAL,1.197263,0.012267,0.421511,0.224577,223.555,peak_process_tree_rss_mb,27787,95177,7,95184,RC2,2,2,,"0,0,1,1,2,0,0,2,1,0,2,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,0,0,1,0,2,1,2,1,2,0","M1:T4,M2:T10,M3:T8,M4:T7,M5:T9,M6:T2,M7:T1,M8:T6,M9:T4,M10:T5,M11:T4,M12:T6,M13:T8,M14:T2,M15:T9,M16:T1,M17:T5,M18:T7,M19:T2,M20:T8,M21:T4,M22:T9,M23:T3,M24:T2,M25:T10,M26:T9,M27:T7,M28:T6,M29:T3,M30:T5,M31:T5,M32:T1,M33:T10,M34:T7,M35:T3,M36:T2,M37:T1,M38:T9,M39:T9,M40:T8,M41:T6,M42:T8,M43:T1,M44:T10,M45:T3,M46:T4,M47:T7,M48:T2,M49:T8,M50:T1,M51:T9,M52:T6,M53:T3,M54:T3,M55:T1,M56:T8,M57:T5,M58:T2,M59:T6,M60:T9,M61:T10,M62:T10,M63:T8,M64:T2,M65:T3,M66:T9,M67:T5,M68:T6,M69:T4,M70:T1,M71:T6,M72:T5,M73:T10,M74:T9,M75:T7,M76:T3,M77:T2,M78:T5,M79:T9,M80:T6,M81:T10,M82:T1,M83:T8,M84:T3,M85:T4,M86:T7,M87:T7,M88:T8,M89:T3,M90:T5,M91:T4,M92:T10,M93:T8,M94:T3,M95:T2,M96:T5,M97:T10,M98:T7,M99:T3,M100:T2,M101:T1,M102:T7,M103:T4,M104:T9,M105:T5,M106:T6,M107:T10,M108:T9,M109:T4,M110:T10,M111:T6,M112:T8,M113:T7,M114:T6,M115:T8,M116:T10,M117:T7,M118:T1,M119:T2,M120:T4,M121:T5,M122:T4,M123:T3,M124:T7,M125:T4,M126:T5,M127:T6,M128:T9,M129:T3,M130:T8,M131:T7,M132:T3,M133:T4,M134:T8,M135:T3,M136:T7,M137:T2,M138:T10,M139:T5,M140:T6,M141:T1,M142:T10,M143:T5,M144:T2,M145:T9,M146:T4,M147:T4,M148:T2,M149:T7,M150:T10,M151:T8,M152:T1,M153:T5,M154:T3,M155:T4,M156:T7,M157:T2,M158:T10,M159:T6,M160:T9,M161:T3,M162:T2,M163:T5,M164:T8,M165:T7,M166:T1,M167:T4,M168:T10,M169:T9,M170:T2,M171:T1,M172:T8,M173:T6,M174:T5,M175:T7,M176:T6,M177:T8,M178:T4,M179:T1,M180:T6,M181:T7,M182:T3,M183:T6,M184:T2,M185:T8,M186:T10,M187:T4,M188:T9,M189:T7,M190:T5,M191:T3,M192:T10,M193:T5,M194:T5,M195:T6,M196:T10,M197:T9,M198:T8,M199:T3,M200:T7,M201:T4,M202:T6,M203:T7,M204:T1,M205:T10,M206:T9,M207:T2,M208:T5,M209:T3,M210:T4,M211:T1,M212:T6,M213:T5,M214:T8,M215:T7,M216:T6,M217:T9,M218:T2,M219:T4,M220:T6,M221:T3,M222:T4,M223:T2,M224:T10,M225:T9,M226:T8,M227:T5,M228:T1,M229:T7,M230:T1,M231:T4,M232:T6,M233:T9,M234:T5,M235:T3,M236:T1,M237:T4",1:M7 M16 M32 M37 M43 M50 M55 M70 M82 M101 M118 M141 M152 M166 M171 M179 M204 M211 M228 M230 M236 | 2:M6 M14 M19 M24 M36 M48 M58 M64 M77 M95 M100 M119 M137 M144 M148 M157 M162 M170 M184 M207 M218 M223 | 3:M23 M29 M35 M45 M53 M54 M65 M76 M84 M89 M94 M99 M123 M129 M132 M135 M154 M161 M182 M191 M199 M209 M221 M235 | 4:M1 M9 M11 M21 M46 M69 M85 M91 M103 M109 M120 M122 M125 M133 M146 M147 M155 M167 M178 M187 M201 M210 M219 M222 M231 M237 | 5:M10 M17 M30 M31 M57 M67 M72 M78 M90 M96 M105 M121 M126 M139 M143 M153 M163 M174 M190 M193 M194 M208 M213 M227 M234 | 6:M8 M12 M28 M41 M52 M59 M68 M71 M80 M106 M111 M114 M127 M140 M159 M173 M176 M180 M183 M195 M202 M212 M216 M220 M232 | 7:M4 M18 M27 M34 M47 M75 M86 M87 M98 M102 M113 M117 M124 M131 M136 M149 M156 M165 M175 M181 M189 M200 M203 M215 M229 | 8:M3 M13 M20 M40 M42 M49 M56 M63 M83 M88 M93 M112 M115 M130 M134 M151 M164 M172 M177 M185 M198 M214 M226 | 9:M5 M15 M22 M26 M38 M39 M51 M60 M66 M74 M79 M104 M108 M128 M145 M160 M169 M188 M197 M206 M217 M225 M233 | 10:M2 M25 M33 M44 M61 M62 M73 M81 M92 M97 M107 M110 M116 M138 M142 M150 M158 M168 M186 M192 M196 M205 M224,PASSED,,
forumt-14.prec25,SAT,OPTIMAL,1.236553,0.001076,0.388753,0.279554,135.516,peak_process_tree_rss_mb,27787,97872,7,97879,RC2,2,2,,"0,0,2,1,2,0,0,1,0,0,1,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,2,2,2,0,1,2,1,0,0,2,0,0,0,0,0,1,0,2,0,1,2,1,0,1,0,2,1,2,1,2,2","M1:T8,M2:T10,M3:T9,M4:T2,M5:T7,M6:T6,M7:T5,M8:T3,M9:T4,M10:T1,M11:T2,M12:T7,M13:T9,M14:T10,M15:T1,M16:T6,M17:T5,M18:T4,M19:T1,M20:T6,M21:T3,M22:T5,M23:T4,M24:T7,M25:T6,M26:T1,M27:T2,M28:T10,M29:T9,M30:T2,M31:T7,M32:T9,M33:T1,M34:T10,M35:T4,M36:T2,M37:T8,M38:T7,M39:T7,M40:T1,M41:T1,M42:T7,M43:T6,M44:T5,M45:T9,M46:T3,M47:T8,M48:T8,M49:T6,M50:T5,M51:T2,M52:T3,M53:T4,M54:T9,M55:T10,M56:T1,M57:T5,M58:T8,M59:T4,M60:T7,M61:T2,M62:T2,M63:T6,M64:T5,M65:T1,M66:T4,M67:T9,M68:T3,M69:T10,M70:T7,M71:T2,M72:T8,M73:T5,M74:T3,M75:T10,M76:T1,M77:T4,M78:T7,M79:T2,M80:T5,M81:T9,M82:T6,M83:T3,M84:T1,M85:T10,M86:T8,M87:T6,M88:T4,M89:T9,M90:T2,M91:T7,M92:T5,M93:T2,M94:T3,M95:T5,M96:T10,M97:T4,M98:T8,M99:T3,M100:T5,M101:T4,M102:T6,M103:T10,M104:T9,M105:T2,M106:T2,M107:T3,M108:T4,M109:T8,M110:T10,M111:T9,M112:T1,M113:T3,M114:T8,M115:T10,M116:T4,M117:T3,M118:T9,M119:T7,M120:T5,M121:T2,M122:T8,M123:T6,M124:T2,M125:T5,M126:T9,M127:T4,M128:T3,M129:T8,M130:T7,M131:T7,M132:T6,M133:T5,M134:T7,M135:T4,M136:T3,M137:T10,M138:T1,M139:T8,M140:T6,M141:T9,M142:T7,M143:T1,M144:T4,M145:T5,M146:T8,M147:T8,M148:T4,M149:T6,M150:T9,M151:T5,M152:T10,M153:T2,M154:T7,M155:T4,M156:T9,M157:T1,M158:T6,M159:T3,M160:T8,M161:T4,M162:T6,M163:T3,M164:T5,M165:T1,M166:T10,M167:T2,M168:T9,M169:T8,M170:T8,M171:T2,M172:T6,M173:T5,M174:T7,M175:T8,M176:T4,M177:T2,M178:T3,M179:T10,M180:T5,M181:T7,M182:T4,M183:T6,M184:T5,M185:T9,M186:T8,M187:T4,M188:T6,M189:T5,M190:T3,M191:T10,M192:T9,M193:T9,M194:T7,M195:T1,M196:T3,M197:T5,M198:T6,M199:T9,M200:T2,M201:T4,M202:T10,M203:T9,M204:T3,M205:T8,M206:T1,M207:T4,M208:T2,M209:T5,M210:T6,M211:T7,M212:T5,M213:T4,M214:T1,M215:T8,M216:T6,M217:T2,M218:T1,M219:T10,M220:T1,M221:T2,M222:T6,M223:T8,M224:T3,M225:T9,M226:T4,M227:T10,M228:T5,M229:T7,M230:T9,M231:T8,M232:T1,M233:T3,M234:T3,M235:T5,M236:T4,M237:T8",1:M10 M15 M19 M26 M33 M40 M41 M56 M65 M76 M84 M112 M138 M143 M157 M165 M195 M206 M214 M218 M220 M232 | 2:M4 M11 M27 M30 M36 M51 M61 M62 M71 M79 M90 M93 M105 M106 M121 M124 M153 M167 M171 M177 M200 M208 M217 M221 | 3:M8 M21 M46 M52 M68 M74 M83 M94 M99 M107 M113 M117 M128 M136 M159 M163 M178 M190 M196 M204 M224 M233 M234 | 4:M9 M18 M23 M35 M53 M59 M66 M77 M88 M97 M101 M108 M116 M127 M135 M144 M148 M155 M161 M176 M182 M187 M201 M207 M213 M226 M236 | 5:M7 M17 M22 M44 M50 M57 M64 M73 M80 M92 M95 M100 M120 M125 M133 M145 M151 M164 M173 M180 M184 M189 M197 M209 M212 M228 M235 | 6:M6 M16 M20 M25 M43 M49 M63 M82 M87 M102 M123 M132 M140 M149 M158 M162 M172 M183 M188 M198 M210 M216 M222 | 7:M5 M12 M24 M31 M38 M39 M42 M60 M70 M78 M91 M119 M130 M131 M134 M142 M154 M174 M181 M194 M211 M229 | 8:M1 M37 M47 M48 M58 M72 M86 M98 M109 M114 M122 M129 M139 M146 M147 M160 M169 M170 M175 M186 M205 M215 M223 M231 M237 | 9:M3 M13 M29 M32 M45 M54 M67 M81 M89 M104 M111 M118 M126 M141 M150 M156 M168 M185 M192 M193 M199 M203 M225 M230 | 10:M2 M14 M28 M34 M55 M69 M75 M85 M96 M103 M110 M115 M137 M152 M166 M179 M191 M202 M219 M227,PASSED,,
