instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.1 0
forum-13crafb.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.8 2
forum-13crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.5 0
forum-14.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,30.3 4
forumt-14.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
forumt-14crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.4 2
forumt-14crafd.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,1.2 2
forumt-14crafe.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.9 2
tic-12.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.1 0
tic-12crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,3.1 0
tic-13.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,1.1 0
tic-13crafb.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 0
tic-13crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-14crafa.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.7 0
tic-14crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-14crafd.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,90.7 0
ticf-13crafa.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.1 0
ticf-13crafb.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.9 2
ticf-13crafc.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.3 0
ticf-14crafa.original,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
