instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.2 0
forum-13.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafb.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafb.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.2 0
forum-13crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-14.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,9.5 4
forum-14.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forumt-14.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.3 2
forumt-14.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
forumt-14crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.2 2
forumt-14crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
forumt-14crafd.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,1.3 2
forumt-14crafd.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
forumt-14crafe.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
forumt-14crafe.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.6 2
tic-12.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.1 0
tic-12.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.3 0
tic-12crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,25.8 0
tic-12crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,1216.3 0
tic-13.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,16.5 0
tic-13.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,1866.9 0
tic-13crafb.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.3 0
tic-13crafb.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,8.4 0
tic-13crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-13crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-14crafa.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,5.5 0
tic-14crafa.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,66.2 0
tic-14crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-14crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
tic-14crafd.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,2207.7 0
tic-14crafd.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
ticf-13crafa.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.2 0
ticf-13crafa.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafb.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafb.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafc.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,0.7 0
ticf-13crafc.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-14crafa.prec15,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,TO
ticf-14crafa.prec25,native_cp,distance_closure,native_cp+distance_closure,cplex_cp,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
