instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,15.0 0
forum-13crafb.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,355.4 2
forum-13crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,26.3 0
forum-14.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,93.6 4
forumt-14.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.1 2
forumt-14crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.0 2
forumt-14crafd.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,5.7 2
forumt-14crafe.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,7.0 2
tic-12.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,5.4 0
tic-12crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,1.9 0
tic-13.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,19.5 0
tic-13crafb.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,3.4 0
tic-13crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.6 1
tic-14crafa.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,54.4 0
tic-14crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,13.7 0
tic-14crafd.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,153.4 0
ticf-13crafa.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,12.9 0
ticf-13crafb.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,739.5 2
ticf-13crafc.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,13.3 0
ticf-14crafa.original,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,TO
