instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,14.8 0
forum-13.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafb.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafb.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,23.7 0
forum-13crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-14.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,130.2 4
forum-14.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forumt-14.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.8 2
forumt-14.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,5.2 2
forumt-14crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.1 2
forumt-14crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,10.1 2
forumt-14crafd.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,8.1 2
forumt-14crafd.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,8.5 2
forumt-14crafe.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,13.9 2
forumt-14crafe.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,13.0 2
tic-12.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,15.1 0
tic-12.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,4.7 0
tic-12crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,3.3 0
tic-12crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,9.9 0
tic-13.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,400.1 0
tic-13.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,115.1 0
tic-13crafb.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,37.6 0
tic-13crafb.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,214.8 0
tic-13crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,2.5 1
tic-13crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,7.7 1
tic-14crafa.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,6558.5 0
tic-14crafa.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,59.6 0
tic-14crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,72.7 0
tic-14crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,712.7 0
tic-14crafd.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,108.5 0
tic-14crafd.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,429.1 0
ticf-13crafa.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,19.5 0
ticf-13crafa.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafb.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafb.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafc.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,35.1 0
ticf-13crafc.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-14crafa.prec15,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,TO
ticf-14crafa.prec25,native_linear,distance_closure,native_linear+distance_closure,cplex_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
