instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
forum-13crafc.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,3.9 0,-
forum-13crafc.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 0,-
forum-13crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
forum-13crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,3.9 0,-
forum-13crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 0,-
forum-13crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.2 0,-
forum-13crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
forum-13crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 0,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.2 0,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
forum-13crafc.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.7 4,-
forum-14.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.4 4,-
forum-14.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,2.3 4,-
forum-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.6 4,-
forum-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.4 4,-
forum-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,2.4 4,-
forum-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.6 4,-
forum-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.4 4,-
forum-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,2.2 4,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.6 4,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.4 4,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,2.2 4,-
forum-14.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT,-
forumt-14.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2,-
forumt-14.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2,-
forumt-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2,-
forumt-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafc.prec25,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec25,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec25,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2,-
forumt-14crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 2,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafd.prec15,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2,-
forumt-14crafd.prec15,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 2,-
forumt-14crafd.prec15,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 2,-
