instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec50,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.6 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.6 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 3,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.8 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.9 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.8 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.9 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 5,-
