instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 10
forum-13.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 12
forum-13crafb.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 17
forum-13crafb.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forum-13crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 10
forum-13crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 12
forum-14.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,1.4 10
forum-14.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.3 16
forumt-14.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 2
forumt-14.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forumt-14crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,1.1 2
forumt-14crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forumt-14crafd.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.5 4
forumt-14crafd.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
forumt-14crafe.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.5 4
forumt-14crafe.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
tic-12.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.1 4
tic-12.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
tic-12crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.1 4
tic-12crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
tic-13.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 3
tic-13.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.1 4
tic-13crafb.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 1
tic-13crafb.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.1 4
tic-13crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 3
tic-13crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.1 4
tic-14crafa.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 2
tic-14crafa.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
tic-14crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.3 2
tic-14crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
tic-14crafd.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 3
tic-14crafd.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafa.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.3 10
ticf-13crafa.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 12
ticf-13crafb.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.5 17
ticf-13crafb.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,UNSAT
ticf-13crafc.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.5 10
ticf-13crafc.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.2 12
ticf-14crafa.fixed020-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,1.2 15
ticf-14crafa.fixed040-Forb,native_linear,distance_closure,native_linear+distance_closure,gurobi_mip,IdleRange(P*),reduced,-,-,-,-,-,0.4 16
