instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
forum-13.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.5 0
forum-13.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.7 0
forum-13.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0
forum-13.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0
forum-13.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0
forum-13.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 0
forum-13crafb.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,1.3 2
forum-13crafb.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.8 2
forum-13crafb.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.1 2
forum-13crafb.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.2 2
forum-13crafb.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.6 2
forum-13crafb.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.0 2
forum-13crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,1.8 0
forum-13crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0
forum-13crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.2 0
forum-13crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.9 0
forum-13crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0
forum-13crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.0 0
forum-14.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,1.4 4
forum-14.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,2.4 4
forum-14.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,2.2 4
forum-14.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.4 4
forum-14.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.3 4
forum-14.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.9 4
forumt-14.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 2
forumt-14.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
forumt-14.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 2
forumt-14.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 2
forumt-14.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 2
forumt-14crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 2
forumt-14crafd.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.5 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 2
forumt-14crafe.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 2
tic-12.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 0
tic-12.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.1 0
tic-12.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.1 0
tic-12.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0
tic-12.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 0
tic-12.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 0
tic-12crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 0
tic-12crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0
tic-12crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.1 0
tic-12crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0
tic-12crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-12crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 0
tic-13.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0
tic-13.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0
tic-13.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0
tic-13.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-13.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-13.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-13crafb.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0
tic-13crafb.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0
tic-13crafb.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0
tic-13crafb.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-13crafb.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-13crafb.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-13crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 1
tic-13crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 1
tic-13crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 1
tic-13crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 1
tic-13crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 1
tic-13crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 1
tic-14crafa.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0
tic-14crafa.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0
tic-14crafa.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.4 0
tic-14crafa.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-14crafa.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0
tic-14crafa.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 0
tic-14crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0
tic-14crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0
tic-14crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0
tic-14crafc.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0
tic-14crafc.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 0
tic-14crafc.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-14crafd.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 0
tic-14crafd.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0
tic-14crafd.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.5 0
tic-14crafd.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 0
tic-14crafd.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-14crafd.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.6 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0
ticf-13crafa.original,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 0
