instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
forum-13.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.6 0
forum-13.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.7 0
forum-13.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 0
forum-13.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0
forum-13.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0
forum-13.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 0
forum-13.forb0007,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.5 0
forum-13.forb0007,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0
forum-13.forb0007,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0
forum-13.forb0007,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.5 0
forum-13.forb0007,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 0
forum-13.forb0007,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 0
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,1.3 2
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.7 2
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.0 2
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.2 2
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.9 2
forum-13crafb.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.6 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.7 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.0 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.7 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.2 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.7 2
forum-13crafb.forb0007,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.9 2
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,2.1 0
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.1 0
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,4.0 0
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0
forum-13crafc.forb0003,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.9 0
forum-13crafc.forb0007,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,1.3 0
forum-13crafc.forb0007,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0
forum-13crafc.forb0007,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.8 0
