instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 10
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 10
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 10
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 10
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 10
forum-13.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 10
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 12
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 12
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 12
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 12
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 12
forum-13.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 12
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.5 17
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.7 17
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 17
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 17
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 17
forum-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 17
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 10
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 10
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 10
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 10
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 10
forum-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 10
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 12
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 12
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 12
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 12
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 12
forum-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 12
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.9 10
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.3 10
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.4 10
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.8 10
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.1 10
forum-14.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.1 10
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.6 16
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.1 16
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.1 16
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 16
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 16
forum-14.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 16
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 2
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 2
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 2
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 2
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 2
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 2
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 2
forumt-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 2
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 4
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 4
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 4
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 4
forumt-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 4
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 4
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 4
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 4
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 4
forumt-14crafe.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 4
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.0 4
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.1 4
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.1 4
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.0 4
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-12.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 4
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 4
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.1 4
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-12crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 3
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 3
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 3
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 3
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 3
tic-13.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 3
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 4
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 1
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 1
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 1
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 1
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 1
tic-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 1
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 4
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 3
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 3
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 3
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 3
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 3
tic-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 3
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 4
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 4
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-13crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 4
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
