instance,staircase,solver,basic,imp1,imp2,imp12,imp12+
forum-13.original,no,maxsat,-,-,-,-,2.2 0
forum-13crafb.original,no,maxsat,-,-,-,-,3.8 97
forum-13crafc.original,no,maxsat,-,-,-,-,9.5 49
forum-14.original,no,maxsat,-,-,-,-,ERR
forumt-14.original,no,maxsat,-,-,-,-,0.4 46
forumt-14crafc.original,no,maxsat,-,-,-,-,0.4 44
forumt-14crafd.original,no,maxsat,-,-,-,-,0.4 40
forumt-14crafe.original,no,maxsat,-,-,-,-,0.5 42
tic-12.original,no,maxsat,-,-,-,-,0.1 0
tic-12crafc.original,no,maxsat,-,-,-,-,0.2 0
tic-13.original,no,maxsat,-,-,-,-,0.4 0
tic-13crafb.original,no,maxsat,-,-,-,-,0.4 0
tic-13crafc.original,no,maxsat,-,-,-,-,0.4 27
tic-14crafa.original,no,maxsat,-,-,-,-,0.4 0
tic-14crafc.original,no,maxsat,-,-,-,-,0.5 0
tic-14crafd.original,no,maxsat,-,-,-,-,0.4 0
ticf-13crafa.original,no,maxsat,-,-,-,-,3.3 0
ticf-13crafb.original,no,maxsat,-,-,-,-,4.4 92
ticf-13crafc.original,no,maxsat,-,-,-,-,20.4 46
ticf-14crafa.original,no,maxsat,-,-,-,-,29.7 0
