instance,staircase,solver,basic,imp1,imp2,imp12,imp12+
forum-13.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafb.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-14.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-14.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14.fixed020-Forb,no,maxsat,-,-,-,-,0.3 49
forumt-14.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafc.fixed020-Forb,no,maxsat,-,-,-,-,0.4 48
forumt-14crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13crafb.fixed020-Forb,no,maxsat,-,-,-,-,0.3 16
tic-13crafb.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-14crafa.fixed020-Forb,no,maxsat,-,-,-,-,0.3 34
tic-14crafa.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-14crafc.fixed020-Forb,no,maxsat,-,-,-,-,0.4 45
tic-14crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-14crafd.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafa.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafa.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafb.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-13crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-14crafa.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
ticf-14crafa.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
