instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,staircase,encoding_variant,total_breaks,fairness_gap,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
forum-13.fixed020-Forb,UNSAT,UNSAT,0.860246,83796,193064,19,0,193083,152.242,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,193064,19,193083
forum-13.fixed040-Forb,UNSAT,UNSAT,0.764677,71500,164333,19,0,164352,142.961,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,164333,19,164352
forum-13crafb.fixed020-Forb,UNSAT,UNSAT,0.993169,85196,211478,20,0,211498,168.512,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,211478,20,211498
forum-13crafb.fixed040-Forb,UNSAT,UNSAT,0.84535,82699,198176,20,0,198196,147.527,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,198176,20,198196
forum-13crafc.fixed020-Forb,UNSAT,UNSAT,0.865274,83930,193384,19,0,193403,155.609,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,193384,19,193403
forum-13crafc.fixed040-Forb,UNSAT,UNSAT,0.868275,71658,164701,19,0,164720,149.426,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,164701,19,164720
forum-14.fixed020-Forb,UNSAT,UNSAT,1.594719,136761,330935,20,0,330955,199.77,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,330935,20,330955
forum-14.fixed040-Forb,UNSAT,UNSAT,1.482492,127313,295445,20,0,295465,186.621,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,295445,20,295465
forumt-14.fixed020-Forb,SAT,OPTIMAL,0.335131,25751,68005,7,0,68012,110.625,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,49,2,"0,0,0,1,2,0,0,2,1,0,1,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,2,2,0,0,2,1,0,0,2,0,0,0,0,0,2,0,2,2,0,2,1,0,1,0,2,2,2,1,1,2","46,50,50,54,48,44,48,46,44,44","2,9,8,10,5,7,1,6,5,4,1,5,7,2,9,10,4,8,8,4,5,1,7,6,1,8,9,3,8,1,8,6,10,9,3,8,2,10,5,9,10,3,4,6,9,2,7,3,2,9,8,5,10,7,6,3,9,2,4,10,5,8,6,4,5,3,1,2,9,10,10,6,5,9,7,1,3,6,2,1,5,9,10,4,7,8,2,4,3,1,8,7,7,6,9,10,2,4,2,4,7,6,9,5,1,5,10,8,2,1,8,3,4,8,9,7,4,1,3,2,10,2,8,1,4,6,3,8,7,9,3,4,8,3,4,1,5,6,10,7,9,7,3,8,1,6,7,3,4,2,4,9,3,6,2,1,5,8,7,10,8,10,2,3,7,9,1,4,6,6,10,3,5,2,6,5,3,10,8,1,2,7,3,4,5,2,10,6,3,5,4,9,4,4,1,3,9,2,7,5,2,1,2,5,4,6,10,9,7,8,6,7,4,10,1,5,4,7,1,9,3,5,7,2,4,1,6,10,8,6,5,7,3,2,5,3,4",1:M7 M11 M22 M25 M30 M67 M76 M80 M90 M105 M110 M118 M124 M136 M145 M156 M167 M180 M195 M202 M215 M219 M226 | 2:M1 M14 M37 M46 M49 M58 M68 M79 M87 M97 M99 M109 M120 M122 M150 M155 M163 M174 M181 M186 M198 M201 M203 M224 M234 | 3:M28 M35 M42 M48 M56 M66 M77 M89 M112 M119 M127 M131 M134 M143 M148 M153 M164 M172 M177 M183 M189 M196 M221 M233 M236 | 4:M10 M17 M20 M43 M59 M64 M84 M88 M98 M100 M113 M117 M125 M132 M135 M149 M151 M168 M184 M191 M193 M194 M205 M213 M217 M225 M237 | 5:M5 M9 M12 M21 M39 M52 M61 M65 M73 M81 M104 M106 M137 M157 M173 M176 M185 M190 M200 M204 M216 M222 M231 M235 | 6:M8 M24 M32 M44 M55 M63 M72 M78 M94 M102 M126 M138 M146 M154 M169 M170 M175 M188 M206 M211 M227 M230 | 7:M6 M13 M23 M47 M54 M75 M85 M92 M93 M101 M116 M129 M140 M142 M147 M159 M165 M182 M199 M209 M212 M218 M223 M232 | 8:M3 M18 M19 M26 M29 M31 M36 M51 M62 M86 M91 M108 M111 M114 M123 M128 M133 M144 M158 M161 M179 M210 M229 | 9:M2 M15 M27 M34 M40 M45 M50 M57 M69 M74 M82 M95 M103 M115 M130 M141 M152 M166 M192 M197 M208 M220 | 10:M4 M16 M33 M38 M41 M53 M60 M70 M71 M83 M96 M107 M121 M139 M160 M162 M171 M178 M187 M207 M214 M228,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,68005,7,68012
forumt-14.fixed040-Forb,UNSAT,UNSAT,0.255547,23427,57938,7,0,57945,106.004,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,57938,7,57945
