instance,staircase,solver,basic,imp1,imp2,imp12,imp12+
forum-13.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13.forb0003,no,maxsat,-,-,-,-,3.2 0
forum-13.forb0007,no,maxsat,-,-,-,-,3.6 0
forum-13crafb.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafb.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafb.forb0003,no,maxsat,-,-,-,-,5.3 92
forum-13crafb.forb0007,no,maxsat,-,-,-,-,4.6 88
forum-13crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-13crafc.forb0003,no,maxsat,-,-,-,-,64.8 48
forum-13crafc.forb0007,no,maxsat,-,-,-,-,19.1 52
forum-14.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forum-14.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forum-14.forb0003,no,maxsat,-,-,-,-,29.4 0
forum-14.forb0007,no,maxsat,-,-,-,-,UNSAT
forumt-14.fixed020-Forb,no,maxsat,-,-,-,-,0.4 49
forumt-14.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14.forb0003,no,maxsat,-,-,-,-,0.6 0
forumt-14.forb0007,no,maxsat,-,-,-,-,UNSAT
forumt-14crafc.fixed020-Forb,no,maxsat,-,-,-,-,0.4 48
forumt-14crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafc.forb0003,no,maxsat,-,-,-,-,0.5 0
forumt-14crafc.forb0007,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.forb0003,no,maxsat,-,-,-,-,UNSAT
forumt-14crafd.forb0007,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.forb0003,no,maxsat,-,-,-,-,UNSAT
forumt-14crafe.forb0007,no,maxsat,-,-,-,-,UNSAT
tic-12.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12.forb0003,no,maxsat,-,-,-,-,UNSAT
tic-12.forb0007,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.forb0003,no,maxsat,-,-,-,-,UNSAT
tic-12crafc.forb0007,no,maxsat,-,-,-,-,UNSAT
tic-13.fixed020-Forb,no,maxsat,-,-,-,-,UNSAT
tic-13.fixed040-Forb,no,maxsat,-,-,-,-,UNSAT
