instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,staircase,encoding_variant,total_breaks,fairness_gap,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
forum-13.fixed020-Forb,UNSAT,UNSAT,0.973303,83796,193064,19,0,193083,150.98,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,193064,19,193083
forum-13.fixed040-Forb,UNSAT,UNSAT,0.770723,71500,164333,19,0,164352,142.781,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,164333,19,164352
forum-13.forb0003,SAT,OPTIMAL,3.15293,87066,207677,19,0,207696,177.195,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8,12,20,26,26,26,28,28,26,26,26,20,20,8,6,2,0,0,0,0,0","3,9,5,10,11,7,8,4,6,14,3,5,4,6,8,1,7,2,1,5,6,3,2,4,4,7,7,8,11,13,9,12,10,11,9,12,10,8,13,7,12,13,14,16,15,6,5,3,6,9,7,3,8,5,10,11,4,10,13,11,12,4,8,6,5,7,4,7,2,8,3,11,4,6,10,9,5,9,5,12,11,13,7,4,10,3,8,6,4,8,9,6,7,5,11,10,2,3,13,8,11,12,10,9,6,5,4,3,8,7,1,2,9,5,9,7,11,6,13,12,10,5,9,12,14,13,7,6,4,10,11,15,8,2,10,4,3,1,6,15,11,12,8,5,9,13,14,7,10,8,11,12,13,9",1:M16 M19 M111 M138 | 2:M18 M23 M69 M97 M112 M134 | 3:M1 M11 M22 M48 M52 M71 M86 M98 M108 M137 | 4:M8 M13 M24 M25 M57 M62 M67 M73 M84 M89 M107 M129 M136 | 5:M3 M12 M20 M47 M54 M65 M77 M79 M94 M106 M114 M122 M144 | 6:M9 M14 M21 M46 M49 M64 M74 M88 M92 M105 M118 M128 M139 | 7:M6 M17 M26 M27 M40 M51 M66 M68 M83 M93 M110 M116 M127 M148 | 8:M7 M15 M28 M38 M53 M63 M70 M87 M90 M100 M109 M133 M143 M150 | 9:M2 M31 M35 M50 M76 M78 M91 M104 M113 M115 M123 M145 M154 | 10:M4 M33 M37 M55 M58 M75 M85 M96 M103 M121 M130 M135 M149 | 11:M5 M29 M34 M56 M60 M72 M81 M95 M101 M117 M131 M141 M151 | 12:M32 M36 M41 M61 M80 M102 M120 M124 M142 M152 | 13:M30 M39 M42 M59 M82 M99 M119 M126 M146 M153 | 14:M10 M43 M125 M147 | 15:M45 M132 M140 | 16:M44 | 17: | 18: | 19: | 20: | 21:,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,207677,19,207696
forum-13.forb0007,SAT,OPTIMAL,3.615185,86926,207147,19,0,207166,176.801,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8,10,20,22,26,26,28,28,26,26,26,26,22,8,4,2,0,0,0,0,0","5,8,13,11,9,6,10,12,7,14,5,6,7,4,8,1,3,2,4,5,1,2,6,3,5,6,10,11,12,13,9,8,7,9,13,12,11,7,10,8,12,13,14,16,15,7,8,12,7,12,8,9,6,5,13,10,11,10,13,12,11,4,6,4,3,7,5,12,10,9,5,11,8,6,3,7,4,10,8,12,11,13,7,6,9,4,5,3,3,7,6,8,2,9,11,5,10,4,12,8,11,13,10,9,10,6,7,3,8,9,11,5,4,5,7,6,2,3,9,4,1,9,4,13,14,12,6,7,5,3,11,10,8,2,6,9,11,7,3,15,4,12,10,5,1,14,8,13,11,10,9,12,13,8",1:M16 M21 M121 M145 | 2:M18 M22 M93 M117 M134 | 3:M17 M24 M65 M75 M88 M89 M108 M118 M130 M139 | 4:M14 M19 M62 M64 M77 M86 M98 M113 M120 M123 M141 | 5:M1 M11 M20 M25 M54 M67 M71 M87 M96 M112 M114 M129 M144 | 6:M6 M12 M23 M26 M53 M63 M74 M84 M91 M106 M116 M127 M135 | 7:M9 M13 M33 M38 M46 M49 M66 M76 M83 M90 M107 M115 M128 M138 | 8:M2 M15 M32 M40 M47 M51 M73 M79 M92 M100 M109 M133 M147 M154 | 9:M5 M31 M34 M52 M70 M85 M94 M104 M110 M119 M122 M136 M151 | 10:M7 M27 M39 M56 M58 M69 M78 M97 M103 M105 M132 M143 M150 | 11:M4 M28 M37 M57 M61 M72 M81 M95 M101 M111 M131 M137 M149 | 12:M8 M29 M36 M41 M48 M50 M60 M68 M80 M99 M126 M142 M152 | 13:M3 M30 M35 M42 M55 M59 M82 M102 M124 M148 M153 | 14:M10 M43 M125 M146 | 15:M45 M140 | 16:M44 | 17: | 18: | 19: | 20: | 21:,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,207147,19,207166
forum-13crafb.fixed020-Forb,UNSAT,UNSAT,1.022415,85196,211478,20,0,211498,158.789,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,211478,20,211498
forum-13crafb.fixed040-Forb,UNSAT,UNSAT,0.879436,82699,198176,20,0,198196,143.449,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,198176,20,198196
forum-13crafb.forb0003,SAT,OPTIMAL,5.322803,103375,255716,20,0,255736,202.152,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,92,2,"2,2,2,1,0,0,2,1,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,0,2,0,0,2,1,2,2,2,2,2,2,2,1,0,1,0,0,0,1,0,2,2,0,2,0,2,2,1,2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,2","2,6,8,14,18,18,24,24,26,28,26,28,28,28,28,24,16,16,12,8,4,4","6,14,11,9,10,8,7,10,16,11,9,5,12,7,15,13,10,14,18,17,13,12,16,10,9,11,16,13,3,5,11,10,11,19,16,7,2,15,3,17,13,14,6,18,18,13,15,6,8,7,20,4,14,17,11,8,5,9,7,10,13,10,12,15,14,19,16,18,17,13,5,6,4,9,2,15,10,12,8,11,7,11,12,9,14,16,15,9,12,8,9,15,13,20,16,19,18,13,17,21,22,15,14,15,12,14,16,16,14,15,8,9,19,9,6,16,10,7,12,8,11,5,4,15,14,15,13,18,11,7,4,10,3,13,14,15,17,19,6,5,21,22,20,9,12,13,8,7,12,17,13,12,14,9,16,8,14,15,19,11,17,10,18,10,5,2,9,4,7,6,11,1,12,8,3,10,5,14,4,11,16,8,20,18,7,12,13,6,4,7,5,12,8,6,10",1:M172 | 2:M37 M75 M166 | 3:M29 M39 M133 M175 | 4:M52 M73 M123 M131 M168 M179 M189 | 5:M12 M30 M57 M71 M122 M140 M165 M177 M191 | 6:M1 M43 M48 M72 M115 M139 M170 M188 M194 | 7:M7 M14 M36 M50 M59 M81 M118 M130 M148 M169 M185 M190 | 8:M6 M49 M56 M79 M90 M111 M120 M147 M156 M174 M182 M193 | 9:M4 M11 M25 M58 M74 M84 M88 M91 M112 M114 M144 M154 M167 | 10:M5 M8 M17 M24 M32 M60 M62 M77 M117 M132 M162 M164 M176 M195 | 11:M3 M10 M26 M31 M33 M55 M80 M82 M121 M129 M160 M171 M180 | 12:M13 M22 M63 M78 M83 M89 M105 M119 M145 M149 M152 M173 M186 M192 | 13:M16 M21 M28 M41 M46 M61 M70 M93 M98 M127 M134 M146 M151 M187 | 14:M2 M18 M42 M53 M65 M85 M103 M106 M109 M125 M135 M153 M157 M178 | 15:M15 M38 M47 M64 M76 M87 M92 M102 M104 M110 M124 M126 M136 M158 | 16:M9 M23 M27 M35 M67 M86 M95 M107 M108 M116 M155 M181 | 17:M20 M40 M54 M69 M99 M137 M150 M161 | 18:M19 M44 M45 M68 M97 M128 M163 M184 | 19:M34 M66 M96 M113 M138 M159 | 20:M51 M94 M143 M183 | 21:M100 M141 | 22:M101 M142,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,255716,20,255736
forum-13crafb.forb0007,SAT,OPTIMAL,4.634725,103244,254937,20,0,254957,200.0,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,88,2,"2,2,2,2,0,0,2,0,2,2,0,2,1,2,2,1,2,2,2,2,1,2,2,0,2,2,0,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,1,2,1,0,2,0,0,0,2,0,1,0,0,2,0,2,1,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,1","2,6,10,10,14,16,24,22,28,28,26,28,28,28,28,26,22,14,12,12,4,2","8,8,9,11,10,12,9,11,13,9,15,11,10,7,17,15,12,16,17,15,13,10,16,7,12,9,15,12,3,2,12,10,10,20,17,12,7,14,6,18,17,10,5,15,17,16,13,9,11,12,19,4,14,20,5,8,10,13,15,14,14,10,11,16,15,20,17,18,13,9,11,6,3,10,4,18,12,5,8,9,7,11,9,12,15,16,17,7,7,11,8,14,11,19,18,16,20,14,17,21,22,15,13,14,13,16,15,11,12,7,8,6,14,8,7,6,11,4,12,9,10,5,3,13,13,16,14,18,10,9,4,3,2,12,13,20,21,16,8,15,6,5,19,7,14,16,17,18,19,15,14,13,16,9,13,15,14,12,20,11,16,17,19,7,5,2,12,4,6,8,9,1,11,10,3,15,5,17,6,9,16,10,19,14,18,13,8,7,10,7,6,14,8,13,9",1:M172 | 2:M30 M133 M166 | 3:M29 M73 M123 M132 M175 | 4:M52 M75 M118 M131 M168 | 5:M43 M55 M78 M122 M142 M165 M177 | 6:M39 M72 M112 M116 M141 M169 M179 M191 | 7:M14 M24 M37 M81 M88 M89 M110 M115 M144 M164 M188 M190 | 8:M1 M2 M56 M79 M91 M111 M114 M139 M170 M187 M193 | 9:M3 M7 M10 M26 M48 M70 M80 M83 M120 M130 M154 M171 M180 M195 | 10:M5 M13 M22 M32 M33 M42 M57 M62 M74 M121 M129 M174 M182 M189 | 11:M4 M8 M12 M49 M63 M71 M82 M90 M93 M108 M117 M160 M173 | 12:M6 M17 M25 M28 M31 M36 M50 M77 M84 M109 M119 M134 M158 M167 | 13:M9 M21 M47 M58 M69 M103 M105 M124 M125 M135 M152 M155 M186 M194 | 14:M38 M53 M60 M61 M92 M98 M104 M113 M127 M145 M151 M157 M184 M192 | 15:M11 M16 M20 M27 M44 M59 M65 M85 M102 M107 M140 M150 M156 M176 | 16:M18 M23 M46 M64 M86 M96 M106 M126 M138 M146 M153 M161 M181 | 17:M15 M19 M35 M41 M45 M67 M87 M99 M147 M162 M178 | 18:M40 M68 M76 M95 M128 M148 M185 | 19:M51 M94 M143 M149 M163 M183 | 20:M34 M54 M66 M97 M136 M159 | 21:M100 M137 | 22:M101,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,254937,20,254957
forum-13crafc.fixed020-Forb,UNSAT,UNSAT,0.971022,83930,193384,19,0,193403,152.266,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,193384,19,193403
forum-13crafc.fixed040-Forb,UNSAT,UNSAT,0.842475,71658,164701,19,0,164720,148.023,peak_process_tree_rss_mb,maxsat,traditional,no,imp12+,,,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence graph: transitive closure, cycle detection, arc-consistent bounds | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary total-break-slot counts and gap objective | (40) optional hard fairness cap: gap <= 2",,,result,164701,19,164720
