instance,generated_sha256,source_instance,source_sha256,gamma_percent,global_seed,instance_seed_hex,target_direct_edges,actual_direct_edges,transitive_edges,max_chain_distance,meeting_incidences,realized_incidence_density_percent,eligible_precedence_posts,realized_eligible_post_density_percent,witness_sha256,construction
forum-13.prec50.dzn,7b53cb0cbf161f3815ed870cd1ef51768c7be02d77cac8632e9b79dbadbb29e4,forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,50,20260724,7c9fb7ff0c45134b,132,132,234,5,308,42.857143,238,55.462185,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,nested_witness_consistent_precedence_dag
forum-13.prec60.dzn,4a51fea5e718dd72295b44c08399c1e30397453ec9a3275dcb327f818f908b75,forum-13.original.dzn,199c425a3e6307a99a2c772c7edde7a528506fa5cbd0af939507b42c1492b171,60,20260724,7c9fb7ff0c45134b,154,154,347,6,308,50.000000,238,64.705882,a6f135fbed01d7eb12d63529e858d619ff89d35c1719ae7e6a1c57fb2792c059,nested_witness_consistent_precedence_dag
forum-13crafb.prec50.dzn,1f4b69ec4efa1bb8474de3a53c14fe06ea1ce5351849810ee273a82cbdaafeab,forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,50,20260724,d982ccf2e034ac17,173,173,383,6,390,44.358974,320,54.062500,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,nested_witness_consistent_precedence_dag
forum-13crafb.prec60.dzn,d5678a2342fc00e855d16c55c58f6745b947f4abb0d3416e1da668b28f3b4268,forum-13crafb.original.dzn,94f696e127d80a35871e661a3531c6771df9e66dd525efbc164c265f8b2bfeb1,60,20260724,d982ccf2e034ac17,207,207,540,7,390,53.076923,320,64.687500,69cb1f03510bd5b2e7cdade07fea3dc73dab42922af2af1db6b4e02e30cc7c3a,nested_witness_consistent_precedence_dag
forum-13crafc.prec50.dzn,762779daacc6928d4df6defcc3b1409a49f380d64174e2781ed6a4858e7dddca,forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,50,20260724,cb8c3cf50b2decde,132,132,257,4,308,42.857143,238,55.462185,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,nested_witness_consistent_precedence_dag
forum-13crafc.prec60.dzn,495bc2729a9844850acfce26b81039e5d3605053f653ab108188e0cbd4577cea,forum-13crafc.original.dzn,65a96b9dd660a8a35101f86ce6ef259ab1117592f94b75bcf9458f90ff8a9285,60,20260724,cb8c3cf50b2decde,154,154,384,6,308,50.000000,238,64.705882,5abd16ae3b9f33fe297b1098d6e70ed834b15f40a4e7da8fcc9de28ffc08e030,nested_witness_consistent_precedence_dag
forum-14.prec50.dzn,9a5ae00beaaf144ccdbbe05b05766a544b2939572b0b56c6d4885824e9e12d54,forum-14.original.dzn,7b042eef7f1c194076bf4c8164db16b189b98bab3af7f6f5d99d861f2ca4cab7,50,20260724,a48b5367b234bd4c,287,287,688,5,604,47.516556,528,54.356061,a9c1a6e563ccf42a7902d226d8a27bfa1eecbf2058d3eecca5b5aaab715596d5,nested_witness_consistent_precedence_dag
forum-14.prec60.dzn,4851ad89a45ba751647128927c2ffdf64e4f54d6e12c9ab6b5278ff733cdcd6e,forum-14.original.dzn,7b042eef7f1c194076bf4c8164db16b189b98bab3af7f6f5d99d861f2ca4cab7,60,20260724,a48b5367b234bd4c,331,331,890,6,604,54.801325,528,62.689394,a9c1a6e563ccf42a7902d226d8a27bfa1eecbf2058d3eecca5b5aaab715596d5,nested_witness_consistent_precedence_dag
forumt-14.prec50.dzn,d21b58b6738be2a839db72d7a943dc0a85ca656624c8980850e8d670d5605b63,forumt-14.original.dzn,bc408114f4d8e467efbe770daeccda69e20eb1c51bc1b705fc518e7f501ac873,50,20260724,0731c75c242bbc84,227,227,480,6,474,47.890295,414,54.830918,181a9099e745b3f5a825d2450a890b82c15051cfd1052afe82561609a43f99a0,nested_witness_consistent_precedence_dag
forumt-14.prec60.dzn,3816a98fbc34624c80a86f82dacece449b988dac836deb723887fee2ae5fb40f,forumt-14.original.dzn,bc408114f4d8e467efbe770daeccda69e20eb1c51bc1b705fc518e7f501ac873,60,20260724,0731c75c242bbc84,269,269,656,6,474,56.751055,414,64.975845,181a9099e745b3f5a825d2450a890b82c15051cfd1052afe82561609a43f99a0,nested_witness_consistent_precedence_dag
