instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,3.1 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,3.2 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,6.6 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,2.8 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,2.5 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,6.5 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,2.2 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,2.5 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,5.3 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,2.3 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,2.6 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,5.4 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,2.2 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.7 3,-
forum-13.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,4.4 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,3.0 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,2.1 3,-
forum-13.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,4.7 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,2.4 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.1 3,-
forum-13.prec50,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,5.1 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,1.9 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,2.2 3,-
forum-13.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,5.5 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,2.1 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,3.4 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,5.3 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,2.7 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,3.0 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,6.1 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,2.7 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,3.2 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,6.7 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,2.2 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,2.2 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,5.0 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.8 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.1 3,-
forum-13.prec60,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,4.3 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,2.0 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,2.6 3,-
forum-13.prec60,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,5.1 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,2.2 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,2.2 3,-
forum-13.prec60,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,5.7 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,2.4 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,2.5 3,-
forum-13.prec60,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,4.3 3,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,8.4 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,7.5 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,21.0 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,5.7 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,6.8 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,13.0 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,6.2 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,9.4 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,13.0 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,9.5 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,8.5 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,20.7 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,22.6 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,8.9 5,-
forum-13crafb.prec50,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,10.8 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,11.5 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,9.4 5,-
forum-13crafb.prec50,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,19.6 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,23.8 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,7.0 5,-
forum-13crafb.prec50,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,11.9 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,11.5 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,6.7 5,-
forum-13crafb.prec50,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,19.9 5,-
forum-13crafb.prec60,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,8.1 6,-
forum-13crafb.prec60,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,6.8 6,-
forum-13crafb.prec60,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,17.6 6,-
forum-13crafb.prec60,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,4.6 6,-
forum-13crafb.prec60,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,9.1 6,-
forum-13crafb.prec60,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,8.9 6,-
forum-13crafb.prec60,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,4.6 6,-
forum-13crafb.prec60,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,10.4 6,-
