instance,staircase,solver,basic,imp1,imp2,imp12,imp12+
forum-13.original,yes,incremental,7.3 0,-,-,-,-
forum-13crafb.original,yes,incremental,TO -,-,-,-,-
forum-13crafc.original,yes,incremental,54.9 1,-,-,-,-
forum-14.original,yes,incremental,TO -,-,-,-,-
forumt-14.original,yes,incremental,4.0 5,-,-,-,-
forumt-14crafc.original,yes,incremental,7.0 5,-,-,-,-
forumt-14crafd.original,yes,incremental,9.2 4,-,-,-,-
forumt-14crafe.original,yes,incremental,TO -,-,-,-,-
tic-12.original,yes,incremental,0.9 0,-,-,-,-
tic-12crafc.original,yes,incremental,2.5 0,-,-,-,-
tic-13.original,yes,incremental,2.3 0,-,-,-,-
tic-13crafb.original,yes,incremental,1.7 0,-,-,-,-
tic-13crafc.original,yes,incremental,TO -,-,-,-,-
tic-14crafa.original,yes,incremental,3.3 0,-,-,-,-
tic-14crafc.original,yes,incremental,TO -,-,-,-,-
tic-14crafd.original,yes,incremental,10.0 0,-,-,-,-
ticf-13crafa.original,yes,incremental,12.4 0,-,-,-,-
ticf-13crafb.original,yes,incremental,TO -,-,-,-,-
ticf-13crafc.original,yes,incremental,TO -,-,-,-,-
ticf-14crafa.original,yes,incremental,TO -,-,-,-,-
