instance,staircase,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
forum-13.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.3 0
forum-13.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafb.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafb.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-13crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.5 0
forum-13crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forum-14.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,3.7 4
forum-14.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
forumt-14.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 2
forumt-14.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 2
forumt-14crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 2
forumt-14crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 2
forumt-14crafd.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 2
forumt-14crafd.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.7 2
forumt-14crafe.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.0 2
forumt-14crafe.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 2
tic-12.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0
tic-12.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0
tic-12crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0
tic-12crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 0
tic-13.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0
tic-13.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,2.0 0
tic-13crafb.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0
tic-13crafb.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0
tic-13crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 1
tic-13crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.1 1
tic-14crafa.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0
tic-14crafa.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0
tic-14crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0
tic-14crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.0 0
tic-14crafd.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.0 0
tic-14crafd.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0
ticf-13crafa.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.2 0
ticf-13crafa.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafb.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafb.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafc.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,1.4 0
ticf-13crafc.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-14crafa.prec15,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,27.6 0
ticf-14crafa.prec25,yes,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
